PadNumber,PinName,PinType,Alternate,Remap
1,VDD,power,,
2,OSCIN,gpio,EVENTOUT/SPI1_NSS/I2S1_WS/CK_O/UT/LPTIMER1_OUT/TIMER8_CH0/TIMER0_CH0/PF0,
3,OSCOUT,gpio,EVENTOUT/SPI1_SCK/I2S1_CK/TIMER/14_CH0_ON/PF1,
4,NRST,reset,,
5,VDDA,power,,
6,PA0,gpio,USART1_CTS/TIMER1_CH0/TIMER1_E/TI/CMP0_OUT/EVENTOUT/UART3_TX/SPI1_SC/WKUP0/ADC_IN0/RTC_TAMP1/CMP0,
7,PA1,gpio,USART1_RTS/USART1_DE/TIMER1_CH1/I2C0_SMBA/SPI0_S CK/EVENTOUT/UART3_R/ADC_IN1/CMP0_IP,
8,PA2,gpio,USART1_TX/TIMER8_CH0/TIMER1_CH2/SPI0_IO2/CMP1_OUT/LPUART0_TX/EVENTO/UT/SPI0_MOSI/TIMER14_CH0/ADC_IN2/CMP1_IM4/RTC_TAMP2/WK/UP2,
9,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER8_CH1/SPI0_IO3/LPUART0_RX/EVENTOUT/SPI1_MIS/O/I2S1_MCK/TIMER14_CH1/ADC_IN3/CMP1_IP0,
10,PA4,gpio,SPI0_NSS/USART1_CK/SPI1_NSS/I2S/1_WS/LPTIMER0_OUT/EVENTOUT/SPI1_MOSI/I/2S1_SD/LPTIMER1_OUT/TIMER8_CH0/TIMER40/ADC_IN4/DAC 0_OUT0,
11,PA5,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI,
12,PA6,gpio,ADC_IN5/SPI0_MISO/TIMER2_CH0/LPTIMER0_IN,
13,PA7,gpio,ADC_IN6/SPI0_MOSI/TIMER2_CH1/LPTIMER0_E/TI0/I2C2_SCL/CMP1_OUT/EVENTOUT/TIMER0_/CH0_ON/TIMER11_CH1/TIMER11_CH0/TIMER8_/CH0/I2C1_SCL/ADC_IN7,
14,PB0,gpio,TIMER2_CH2/LPTIMER0_OUT/SPI0_NS,
15,PB1,gpio,ADC_IN8/VREF_OUT/TIMER2_CH3/LPUART0_RTS/LPUART0,
16,BOOT1-PB2,boot,ADC_IN9/VREF_OUT/LPTIMER0_OUT/EVENTOUT/RTC_OUT/I2C2_SMBA/PB2/WKUP3,
17,VDD,power,,
18,PA8,gpio,USART0_CK/CK_OUT/LPTIMER0_OUT/I2C2_SMBA/EVENTOUT/CTC_SYNC/TIMER0_CH0/SPI1_NSS/I2S1_WS/LPTIMER1_OUT/I2C1_SM/BA/I2C2_SCL,
19,PA9,gpio,CK_OUT/USART0_TX/I2C0_SCL/EVEN/TOUT/LPTIMER0_IN1/TIMER0_CH1/SPI1_MISO/TIMER14_BRKIN/I2C1_SCL/I2C2_SMBA,
20,PA10,gpio,USART0_RX/I2C0_SDA/EVENTOUT/TI/MER0_CH2/I2C1_SDA/SPI1_MOSI/I2S1_SD,
21,PA11,gpio,CMP0_OUT/USART0_CTS/SPI0_MISO/EVENTOUT/TIMER0_CH3/TIMER0_BRKIN/I2C1_,
22,PA12,gpio,USBDM/CMP1_OUT/USART0_RTS/USART0_DE,
23,PA13,gpio,USBDP,
24,PA14,gpio,,
25,PA15,gpio,SPI1_NSS/I2S1_WS/TIMER1_CH0/TIM/C1_SMBA,
26,PB3,gpio,UART4_TX/SPI1_SCK/I2S1_CK/TIME,
27,PB4,gpio,CMP1_IM6/UART4_RX/SPI1_MISO/TIMER2_CH0/SPI0_MISO/USART 0_CTS/EVENTOUT/I2C2_SD/A/I2C1_SDA/TIMER11_CH0/CMP1_IP1,
28,PB5,gpio,LPTIMER0_IN0/I2C0_SMBA/SPI1_MOS/I/I2S1_SD/SPI0_MOSI/USART0_CK/CMP1_OUT/EVENTOUT/TIMER40_BRKIN/TIMER2_CH1/CMP1_IP2/WKUP4,
29,PB6,gpio,LPTIMER0_ETI0/I2C1_SCL/I2C0_SCL/USART0_TX/SPI0_IO2/EVENTOUT/SPI1_MISO/CMP1_IP3,
30,PB7,gpio,I2C1_SDA/I2C0_SDA/USART0_RX/SPI/0_IO3/EVENTOUT/SPI1_MOSI/I2S1_SD/LPTIME/R0_IN1/LPUART1_TX/CK_OUT/CMP1_IP4,
31,BOOT0-PD3,boot,USART1_CTS/SPI1_MISO/I2S1_MCK/T/PD3,
32,VSS,ground,,
