PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13,gpio,TIMER0_BRKIN0/TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/WKUP1/RTC_TAMP0/RTC_TS/RTC_OUT0,
3,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
4,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
5,OSCIN-PF0,gpio,,
6,OSCOUT-PF1,gpio,,
7,NRST-PG10,reset,CK_OUT/EVENTOUT/PG10,
8,PC0,gpio,USART0_RX/LPTIMER_IN0/TIMER0_CH0/HPDF_CKIN0/HPDF_DATAIN4/TRIGSEL_IN8/EXMC_CLK/EVENTOUT/ADC01_IN5/CMP2_IM,
9,PC1,gpio,USART0_TX/LPTIMER_OUT/TIMER0_CH1/HPDF_CKIN4/HPDF_DATAIN0/QSPI_IO0/TRIGSEL_IN9/EXMC_NOE/EVENTOUT/ADC01_IN6/CMP2_IP,
10,PC2,gpio,HPDF_CKOUT/LPTIMER_IN1/TIMER0_CH2/CMP2_OUT/TIMER19_CH1/HPDF_CKIN1/QSPI_IO1/TRIGSEL_IN2/EXMC_NWE/EVENTOUT/ADC01_IN7/CMP7_IP,
11,PC3,gpio,LPTIMER_ETI0/TIMER0_CH3/TIMER0_BRKIN2/HPDF_DATAIN1/QSPI_IO2/HRTIMER_FLT6/EXMC_NWAIT/EVENTOUT,
12,PA0,gpio,ADC01_IN8/TIMER1_CH0/TIMER4_CH0/UART3_TX/USART1_CTS/CMP0_OUT/TIMER7_BRKIN0/TIMER7_ETI/HRTIMER_ST6CH0/TRIGSEL_IN0/TIMER1_ETI/EXMC_A13/EVENTOUT/ADC01_IN0/RTC_TAMP1/CMP0_IM/CMP2_IP/WKUP0/CLAIN18,
13,PA1,gpio,RTC_REFIN/TIMER1_CH1/TIMER4_CH1/UART3_RX/USART1_RTS/USART1_DE/TIMER14_MCH0/HRTIMER_ST6CH1/TRIGSEL_IN1/EXMC_A14/EVENTOUT/ADC01_IN1/CMP0_IP/CLAIN19,
14,PA2,gpio,TIMER1_CH2/TIMER4_CH2/CLA0OUT/USART1_TX/CMP1_OUT/TIMER14_CH0,
15,VSS,ground,,
16,VDD,power,,
17,PA3,gpio,TIMER1_CH3/TIMER4_CH3/USART1_RX/TIMER14_CH1/QSPI_SCK/HRTIMER_ST7CH1/TRIGSEL_IN4/EXMC_A16/EVENTOUT/ADC0_IN3/CMP1_IP,
18,PA4,gpio,TIMER2_CH1/SPI0_NSS/SPI2_NSS/USART1_CK/HRTIMER_ST2CH0/EXMC_A17/EVENTOUT/ADC1_IN15/DAC0_OUT0/CMP0_IM,
19,PA5,gpio,TIMER1_CH0/TIMER1_ETI/SPI0_SCK/USART2_TX/HRTIMER_ST2CH1/EXMC_A18/EVENTOUT/ADC1_IN12/DAC0_OUT1/CMP1_IM,
