PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13,gpio,TIMER0_BRKIN0/TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/WKUP1/RTC_TAMP0/RTC_TS/RTC_OUT0,
3,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
4,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
5,OSCIN-PF0,gpio,,
6,OSCOUT-PF1,gpio,,
7,NRST-PG10,reset,CK_OUT/EVENTOUT/PG10,
8,PA0,gpio,TIMER1_CH0/TIMER4_CH0/UART3_TX/USART1_CTS/CMP0_OUT/TIMER7_BRKIN0/TIMER7_ETI/HRTIMER_ST6CH0/TRIGSEL_IN0/TIMER1_ETI/EVENTOUT/ADC01_IN0/RTC_TAMP1/CMP0_IM/CMP2_IP/WKUP0/CLAIN18,
9,PA1,gpio,RTC_REFIN/TIMER1_CH1/TIMER4_CH1/UART3_RX/USART1_RTS/USART1_DE/TIMER14_MCH0/HRTIMER_ST6CH1/TRIGSEL_IN1/EVENTOUT/ADC01_IN1/CMP0_IP/CLAIN19,
10,PA2,gpio,TIMER1_CH2/TIMER4_CH2/CLA0OUT/USART1_TX/CMP1_OUT/TIMER14_CH0,
11,PA3,gpio,ADC0_IN2/CMP1_IM/WKUP3/LSCK_OUT/TIMER1_CH3/TIMER4_CH3/USART1_RX/TIMER14_CH1/QSPI_SCK/HRTIMER_ST7CH1/TRIGSEL_IN4/EVENTOUT/ADC0_IN3/CMP1_IP,
12,PA4,gpio,TIMER2_CH1/SPI0_NSS/SPI2_NSS/USART1_CK/HRTIMER_ST2CH0/EVENTOUT/ADC1_IN15/DAC0_OUT0/CMP0_IM,
13,PA5,gpio,TIMER1_CH0/TIMER1_ETI/SPI0_SCK/USART2_TX/HRTIMER_ST2CH1/EVENTOUT/ADC1_IN12/DAC0_OUT1/CMP1_IM,
14,PA6,gpio,TIMER15_CH0/TIMER2_CH0/TIMER7_BRKIN0/SPI0_MISO/USART2_RX/TIMER0_BRKIN0/CMP0_OUT/QSPI_IO3/HRTIMER_ST3CH0/CK_HPDFAUDIO/EVENTOUT/ADC1_IN2/DAC1_OUT0,
15,PA7,gpio,TIMER16_CH0/TIMER2_CH1/CLA1OUT/TIMER7_MCH0/SPI0_MOSI/TIMER0_MCH0/CMP1_OUT/QSPI_IO2/HRTIMER_ST3CH1/TRIGSEL_IN5/UART4_TX/EVENTOUT/ADC1_IN3/CMP1_IP/DAC1_OUT1,
16,PB0,gpio,TIMER2_CH2/CLA1OUT/TIMER7_MCH1/HPDF_CKOUT/TIMER0_MCH1/HRTIMER_ST4CH0/QSPI_IO1/TRIGSEL_OUT3/HRTIMER_FLT4/EVENTOUT/ADC2_IN11/ADC0_IN12/CMP3_IP/CLAIN8,
