PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PE0,,,TIMER3_ETI,TIMER19_MCH3,TIMER15_CH0,,TIMER19_ETI,USART0_TX,,,,,EXMC_NBL0(2),HRTIMER_ST6CH0,,EVENTOUT
PE1,,,,,TIMER16_CH0,,TIMER19_CH3,USART0_RX,,,,,EXMC_NBL1(2),HRTIMER_ST6CH1,,EVENTOUT
PE2,,,TIMER2_CH0,,,,TIMER19_CH0,,,,,,EXMC_A23(2),HRTIMER_ST7CH0,,EVENTOUT
PE3,,,TIMER2_CH1,,,,TIMER19_CH1,,,,,,EXMC_A19(2),HRTIMER_ST7CH1,,EVENTOUT
PE4,,TIMER0_BRKIN1,TIMER2_CH2,HPDF_DATAIN3,,,TIMER19_MCH0,,,,,,EXMC_A20(2),,,EVENTOUT
PE5,,,TIMER2_CH3,HPDF_CKIN3,,,TIMER19_MCH1,,,,,,EXMC_A21(2),,,EVENTOUT
PE6,,,,,,,TIMER19_MCH2,,,,,,EXMC_A22(2),,,EVENTOUT
PE7,,,TIMER0_ETI,HPDF_DATAIN2,,,,,,,,,EXMC_D4(1),,,EVENTOUT
PE8,,TIMER4_CH2,TIMER0_MCH0,HPDF_CKIN2,,,,,,,,,EXMC_D5(1),,,EVENTOUT
PE9,,TIMER4_CH3,TIMER0_CH0,HPDF_CKOUT,,SPI0_IO2,,,,,,,EXMC_D6(1),,,EVENTOUT
PE10,,,TIMER0_MCH1,HPDF_DATAIN4,,SPI0_IO3,,,,,QSPI_SCK(6),,EXMC_D7(1),,,EVENTOUT
PE11,,,TIMER0_CH1,HPDF_CKIN4,,,,,,,QSPI_CSN(6),,EXMC_D8(1),,,EVENTOUT
PE12,,,TIMER0_MCH2,HPDF_DATAIN5,,,,,,,QSPI_IO0(6),,EXMC_D9(1),,,EVENTOUT
PE13,,,TIMER0_CH2,HPDF_CKIN5,,,,,,,QSPI_IO1(6),,EXMC_D10(1),,,EVENTOUT
PE14,,,TIMER0_CH3,,,,TIMER0_BRKIN2,,,,QSPI_IO2(6),,EXMC_D11(1),,,EVENTOUT
PE15,,,TIMER0_BRKIN0,,,,TIMER0_MCH3,USART2_RX,,,QSPI_IO3(6),,EXMC_D12(1),,,EVENTOUT
PF0,,,,,I2C1_SDA,SPI1_NSS,TIMER0_MCH2,,,,,,,,,EVENTOUT
PF1,,,TIMER19_BRKIN1,,,SPI1_SCK,,,,,,,,,,EVENTOUT
PF2,,,TIMER19_CH2,,I2C1_SMBA,,,,,,,,EXMC_A2(2),,,EVENTOUT
