PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TIMER2_CH0/TIMER19_CH0/HRTIMER_ST7CH0/EXMC_A23/EVENTOUT,
2,PE3,gpio,TIMER2_CH1/TIMER19_CH1/HRTIMER_ST7CH1/EXMC_A19/EVENTOUT,
3,PE4,gpio,TIMER0_BRKIN1/TIMER2_CH2/HPDF_DATAIN3/TIMER19_MCH0/EXMC_A20/EVENTOUT,
4,PE5,gpio,TIMER2_CH3/HPDF_CKIN3/TIMER19_MCH1/EXMC_A21/EVENTOUT,
5,PE6,gpio,TIMER19_MCH2/EXMC_A22/EVENTOUT/WKUP2/RTC_TAMP2,
6,VBAT,power,,
7,PC13,gpio,TIMER0_BRKIN0/TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/WKUP1/RTC_TAMP0/RTC_TS/RTC_OUT0,
8,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
9,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
10,PF3,gpio,TIMER19_CH3/I2C2_SCL/EXMC_A3/EVENTOUT,
11,PF4,gpio,CMP0_OUT/TIMER19_MCH0/I2C2_SDA/HPDF_DATAIN2/EXMC_A4/TRIGSEL_OUT1/EVENTOUT,
12,VSS,ground,,
13,VDD,power,,
14,PF5,gpio,,
15,PF7,gpio,TIMER19_MCH1/HPDF_CKIN2/EXMC_A5/TRIGSEL_OUT5/EVENTOUT/TIMER19_BRKIN0/TIMER4_CH1/QSPI_IO2/EXMC_A1,
16,PF8,gpio,TIMER19_BRKIN2/TIMER4_CH1/QSPI_IO0/EXMC_A24/EVENTOUT,
17,PF9,gpio,TIMER19_BRKIN0/TIMER14_CH0/SPI1_SCK/TIMER4_CH3/QSPI_IO1/EXMC_A25/EVENTOUT,
18,PF10,gpio,USART0_RTS/USART0_DE/TIMER19_BRKIN2/TIMER14_CH1/SPI1_SCK/QSPI_SCK/EXMC_A0/EVENTOUT,
19,OSCIN-PF0,gpio,,
20,OSCOUT-PF1,gpio,,
