PadNumber,PinName,PinType,Alternate,Remap
40,PE9,gpio,TIMER4_CH3/TIMER0_CH0/HPDF_CKOUT/SPI0_IO2/EXMC_D6/EVENTOUT/ADC2_IN1/CMP7_IP,
41,PE10,gpio,TIMER0_MCH1/HPDF_DATAIN4/SPI0_IO3/QSPI_SCK/EXMC_D7/EVENTOUT/ADC2_IN12/ADC3_IN13,
42,PE11,gpio,TIMER0_CH1/HPDF_CKIN4/QSPI_CSN/EXMC_D8/EVENTOUT/ADC2_IN13/ADC3_IN14,
43,PE12,gpio,TIMER0_MCH2/HPDF_DATAIN5/QSPI_IO0/EXMC_D9/EVENTOUT/ADC2_IN14/ADC3_IN15,
44,PE13,gpio,TIMER0_CH2/HPDF_CKIN5/QSPI_IO1,
45,PE14,gpio,ADC2_IN2/TIMER0_CH3/TIMER0_BRKIN2/QSPI_IO2/EXMC_D11/EVENTOUT/ADC3_IN0,
46,PE15,gpio,TIMER0_BRKIN0/TIMER0_MCH3/USART2_RX/QSPI_IO3/EXMC_D12/EVENTOUT/ADC3_IN1,
47,PB10,gpio,TIMER1_CH2/HPDF_DATAIN0/HPDF_DATAIN7/USART2_TX/QSPI_SCK/TIMER0_BRKIN0/HRTIMER_FLT2/TRIGSEL_OUT2/EXMC_A7/EVENTOUT/CMP4_IM,
48,VSS,ground,,
49,VDD,power,,
50,PB11,gpio,TIMER1_CH3/HPDF_DATAIN3/HPDF_CKIN7/USART2_RX/QSPI_CSN/HRTIMER_FLT3/EXMC_A8/EVENTOUT/ADC01_IN13/CMP5_IP,
51,PB12,gpio,TIMER4_ETI/I2C1_SMBA/SPI1_NSS/TIMER0_BRKIN0/USART2_CK/CAN1_RX/HPDF_DATAIN1/HRTIMER_ST2CH0/EXMC_A9/EVENTOUT/ADC3_IN2/ADC0_IN10/CMP6_IM,
52,PB13,gpio,SPI1_SCK/TIMER0_MCH0/USART2_CTS/CAN1_TX/HPDF_CKIN1/HRTIMER_ST2CH1/EXMC_A10/EVENTOUT/ADC2_IN4/CMP4_IP,
53,PB14,gpio,TIMER14_CH0/SPI1_MISO/TIMER0_MCH1/USART2_RTS/USART2_DE/CMP3_OUT/HPDF_DATAIN2/HRTIMER_ST3CH0/TRIGSEL_OUT1/EXMC_A11/EVENTOUT/ADC3_IN3/ADC0_IN4/CMP6_IP,
54,PB15,gpio,RTC_REFIN/TIMER14_CH1/TIMER14_MCH0/CMP2_OUT/TIMER0_MCH2/SPI1_MOSI/HPDF_CKIN2/HRTIMER_ST3CH1/TRIGSEL_OUT5/EXMC_A12/EVENTOUT,
55,PD8,gpio,ADC3_IN4/ADC1_IN14/CMP5_IM/HPDF_CKIN3/USART2_TX/EXMC_D13/EVENTOUT/ADC3_IN11/CMP7_IM,
56,PD9,gpio,HPDF_DATAIN3/USART2_RX/EXMC_D14/EVENTOUT/ADC3_IN12/CMP7_IM,
57,PD10,gpio,HPDF_CKOUT/USART2_CK/EXMC_D15/EVENTOUT/ADC23_IN6/CMP5_IM,
58,PD11,gpio,TIMER4_ETI/I2C3_SMBA/USART2_CTS/EXMC_A16/EVENTOUT/ADC23_IN7/CMP5_IP,
59,PD12,gpio,TIMER3_CH0/USART2_RTS/USART2_DE/EXMC_A17/EVENTOUT/ADC23_IN8/CMP4_IP,
60,PD13,gpio,TIMER3_CH1/EXMC_A18/EVENTOUT/ADC23_IN9/CMP4_IM,
61,PD14,gpio,TIMER3_CH2/SPI0_IO2/EXMC_D0/EVENTOUT/ADC23_IN10/CMP6_IP,
62,PD15,gpio,TIMER3_CH3/SPI0_IO3/SPI1_NSS/EXMC_D1/EVENTOUT/CMP6_IM,
63,VSS,ground,,
64,VDD,power,,
65,PC6,gpio,HPDF_CKIN3/TIMER0_BRKIN1/CMP5_OUT/TIMER2_CH0/HRTIMER_EXEV9/TIMER7_CH0/I2C3_SCL/HRTIMER_ST5CH0/EXMC_NE2/EVENTOUT,
66,PC7,gpio,HPDF_DATAIN3/TIMER2_CH1/HRTIMER_FLT4/TIMER7_CH1/CMP4_OUT/I2C3_SDA/HRTIMER_ ST5CH1/EXMC_NE3/EVENTOUT,
67,PC8,gpio,,
68,PC9,gpio,TIMER2_CH2/HRTIMER_ST4CH0/TIMER7_CH2/TIMER19_CH2/CMP6_OUT/I2C2_SCL/EXMC_NBL0/EVENTOUT/TIMER2_CH3/HRTIMER_ST4CH1/TIMER7_CH3/TIMER7_BRKIN2/I2C2_SDA/EXMC_NBL1,
69,PA8,gpio,CK_OUT/I2C2_SCL/I2C1_SDA/TIMER0_CH0/USART0_CK/CMP6_OUT/TIMER3_ETI/CAN2_RX/SPI1_NSS/HRTIMER_ST0CH0/UART4_RX/EXMC_A21/EVENTOUT/ADC3_IN16/NMI/CLAIN11,
70,PA9,gpio,I2C2_SMBA/I2C1_SCL/TIMER0_CH1/USART0_TX/CMP4_OUT/TIMER14_BRKIN0/TIMER1_CH2/SPI1_SCK/HRTIMER_ST0CH1/TRIGSEL_IN13/EXMC_A22/EVENTOUT/ADC3_IN17/CLAIN12,
71,PA10,gpio,TIMER16_BRKIN0/CLA2OUT/I2C1_SMBA/SPI1_MISO/TIMER0_CH2/USART0_RX/CMP5_OUT/TIMER1_CH3/TIMER7_BRKIN0/HRTIMER_ST1CH0/TRIGSEL_IN12/EXMC_A23/EVENTOUT/CLAIN13/LVD_IN,
72,PA11,gpio,CLA3OUT/SPI1_MOSI/TIMER0_MCH0/USART0_CTS/CMP0_OUT/CAN0_RX/TIMER3_CH0/TIMER0_CH3/TIMER0_BRKIN2/HRTIMER_ST1CH1/TRIGSEL_IN13/EXMC_A24/EVENTOUT/CLAIN14,
73,PA12,gpio,TIMER15_CH0/TIMER0_MCH1/USART0_RTS/USART0_DE/CMP1_OUT/CAN0_TX/TIMER3_CH1/TIMER0_ETI/HRTIMER_FLT0/TRIGSEL_IN12/EXMC_A25/EVENTOUT/CLAIN15,
74,VSS,ground,,
75,VDD,power,,
76,PA13,gpio,,
77,PA14,gpio,,
78,PA15,gpio,,
79,PC10,gpio,HPDF_CKIN5/TIMER7_MCH0/UART3_TX/SPI2_SCK/USART2_TX/HRTIMER_FLT5/EXMC_D0/EVENTOUT,
80,PC11,gpio,HPDF_DATAIN5/HRTIMER_EXEV1/TIMER7_MCH1/UART3_RX/SPI2_MISO,
81,PC12,gpio,TIMER4_CH1/HRTIMER_EXEV0/TIMER7_MCH2/UART4_TX/SPI2_MOSI/USART2_CK/EXMC_A0/EVENTOUT,
82,PD0,gpio,HPDF_CKIN6/TIMER7_MCH3/CAN0_RX/EXMC_D2/TRIGSEL_IN3/EVENTOUT,
83,PD1,gpio,HPDF_DATAIN6/TIMER7_CH3/TIMER7_BRKIN2/CAN0_TX/EXMC_D3/TRIGSEL_IN6/QSPI_DQS/EVENTOUT,
84,PD2,gpio,TIMER2_ETI/TIMER7_BRKIN0/UART4_RX/QSPI_SCK/EVENTOUT,
85,PD3,gpio,TIMER1_CH0/TIMER1_ETI/HPDF_CKOUT/USART1_CTS/QSPI_CSN/EXMC_CLK/EVENTOUT,
86,PD4,gpio,TIMER1_CH1/USART1_RTS/USART1_DE/QSPI_IO0/EXMC_NOE/EVENTOUT,
87,PD5,gpio,USART1_TX/QSPI_IO1/EXMC_NWE/EVENTOUT,
88,PD6,gpio,TIMER1_CH3/HPDF_CKIN4/HPDF_DATAIN1/USART1_RX/QSPI_IO2,
89,PD7,gpio,TIMER1_CH2/HPDF_DATAIN4/HPDF_CKIN1/USART1_CK/QSPI_IO3/EXMC_NE0/EVENTOUT,
90,PB3,gpio,,
91,PB4,gpio,,
92,PB5,gpio,HPDF_CKIN0/TIMER15_BRKIN0/TIMER2_CH1/TIMER7_MCH2/I2C0_SMBA/SPI0_MOSI/SPI2_MOSI/USART1_CK/I2C2_SDA/CAN1_RX/TIMER16_CH0/LPTIMER_IN0/CLA2OUT/HRTIMER_EXEV5/UART4_CTS/EVENTOUT/CLAIN3,
93,PB6,gpio,HPDF_DATAIN5/TIMER15_MCH0/TIMER3_CH0/I2C0_SCL/TIMER7_CH0/TIMER7_ETI/USART0_TX/CMP3_OUT/CAN1_TX/TIMER7_BRKIN2/LPTIMER_ETI0/HRTIMER_SCIN/HRTIMER_EXEV3/EXMC_A4/EVENTOUT/CLAIN4,
94,PB7,gpio,HPDF_CKIN5/TIMER16_MCH0/TIMER3_CH1/I2C3_SDA/I2C0_SDA/TIMER7_BRKIN0/USART0_RX/CMP2_OUT/TIMER2_CH3/LPTIMER_IN1/EXMC_NL/EXMC_NADV/HRTIMER_EXEV2/CLAIN5,
95,PB8/BOOT0,gpio,,
96,PB9,gpio,CLAIN6/TIMER16_CH0/TIMER3_CH3/HPDF_DATAIN7/I2C0_SDA/IFRP_OUT/USART2_TX/CMP1_OUT/CAN0_TX/TIMER7_CH2/TIMER0_MCH2/HRTIMER_EXEV4/EXMC_A6/EVENTOUT/CLAIN7,
97,PE0,gpio,TIMER3_ETI/TIMER19_MCH3/TIMER15_CH0/TIMER19_ETI/USART0_TX/HRTIMER_ST6CH0/EXMC_NBL0/EVENTOUT,
98,PE1,gpio,TIMER16_CH0/TIMER19_CH3/USART0_RX/HRTIMER_ST6CH1/EXMC_NBL1/EVENTOUT,
99,VSS,ground,,
100,VDD,power,,
