PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/EXMC_A23,ETH_MII_TXD3
2,PE3,gpio,TRACED0/EXMC_A19,
3,PE4,gpio,TRACED1/EXMC_A20,DCI_D4/TLI_B0
4,PE5,gpio,TRACED2/EXMC_A21,TIMER8_CH0/DCI_D6/TLI_G0
5,PE6,gpio,TRACED3/EXMC_A22,TIMER8_CH1/DCI_D7/TLI_G1
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,PF0,gpio,EXMC_A0,I2C1_SDA
11,PF1,gpio,EXMC_A1,I2C1_SCL
12,PF2,gpio,EXMC_A2,I2C1_SMBA
13,PF3,gpio,EXMC_A3/ADC2_IN9,
14,PF4,gpio,EXMC_A4/ADC2_IN14,
15,PF5,gpio,EXMC_A5/ADC2_IN15,
16,VSS_5,ground,,
17,VDD_5,power,,
18,PF6,gpio,,
19,PF7,gpio,ADC2_IN4/EXMC_NIORD/ADC2_IN5/EXMC_NREG,TIMER9_CH0/UART6_RX/TIMER10_CH0/UART6_TX
20,PF8,gpio,ADC2_IN6/EXMC_NIOWR,TIMER12_CH0
21,PF9,gpio,ADC2_IN7/EXMC_CD,TIMER13_CH0
22,PF10,gpio,ADC2_IN8/EXMC_INTR,DCI_D11/TLI_DE
23,OSCIN,clock,,PD0/PH0
24,OSCOUT,clock,,PD1/PH1
25,NRST,reset,,
26,PC0,gpio,ADC012_IN10,EXMC_SDNWE
27,PC1,gpio,ADC012_IN11/ETH_MDC,
28,PC2,gpio,ADC012_IN12/ETH_MII_TXD2,EXMC_SDNE0/SPI1_MISO
29,PC3,gpio,ADC012_IN13/ETH_MII_TX_CLK,EXMC_SDCKE0/SPI1_MOSI/I2S1_SD
30,VSSA,ground,,
31,VREFN,power,,
32,VREFP,power,,
33,VDDA,power,,
34,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC012_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI/ETH_MII_CRS,UART3_TX
35,PA1,gpio,USART1_RTS/ADC012_IN1/TIMER1_CH1/TIMER4_CH1/ETH_MII_RX_CLK/ETH_RMII_REF_CLK,UART3_RX
36,PA2,gpio,USART1_TX/ADC012_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/ETH_MDIO/SPI0_IO3,
37,PA3,gpio,USART1_RX/ADC012_IN3/TIMER1_CH3/TIMER4_CH3/TIMER8_CH1/ETH_MII_COL/SPI0_IO4,TLI_B5
38,VSS_4,ground,,
39,VDD_4,power,,
40,PA4,gpio,SPI0_NSS/USART1_CK/DAC0_OUT0/ADC01_IN4/DCI_HSYNC,SPI2_NSS/I2S2_WS/TLI_VSYNC
41,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC0_OUT1,TIMER1_CH0/TIMER1_ETI/TIMER7_CH0_ON
42,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER7_BRKIN/TIMER12_CH0/DCI_PIXCLK,TIMER0_BRKIN/TLI_G2
43,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER7_CH0_ON/TIMER13_CH0/ETH_MII_RX_DV/ETH_RMII_CRS_DV,TIMER0_CH0_ON
44,PC4,gpio,ADC01_IN14/ETH_MII_RXD0. ETH_RMII_RXD0,
45,PC5,gpio,ADC01_IN15/ETH_MII_RXD1/ETH_RMII_RXD1,
46,PB0,gpio,ADC01_IN8/TIMER2_CH2/TIMER7_CH1_ON/ETH_MII_RXD2,TIMER0_CH1_ON/TLI_R3
47,PB1,gpio,ADC01_IN9/TIMER2_CH3/TIMER7_CH2_ON/ETH_MII_RXD3,TIMER0_CH2_ON/TLI_R6
48,PB2,gpio,,
49,PF11,gpio,EXMC_NIOS16/DCI_D12/EXMC_SDNRAS,
50,PF12,gpio,EXMC_A6,
51,VSS_6,ground,,
52,VDD_6,power,,
53,PF13,gpio,EXMC_A7,
54,PF14,gpio,EXMC_A8,
55,PF15,gpio,EXMC_A9,
56,PG0,gpio,EXMC_A10,
57,PG1,gpio,EXMC_A11,
58,PE7,gpio,EXMC_D4/UART6_RX,TIMER0_ETI
59,PE8,gpio,EXMC_D5/UART6_TX,TIMER0_CH0_ON
60,PE9,gpio,EXMC_D6,TIMER0_CH0
61,VSS_7,ground,,
62,VDD_7,power,,
63,PE10,gpio,EXMC_D7,TIMER0_CH1_ON
64,PE11,gpio,EXMC_D8,TIMER0_CH1/TLI_G3
65,PE12,gpio,EXMC_D9,TIMER0_CH2_ON/TLI_B4
66,PE13,gpio,EXMC_D10,TIMER0_CH2/TLI_DE
67,PE14,gpio,EXMC_D11,TIMER0_CH3/TLI_ PIXCLK
68,PE15,gpio,EXMC_D12,TIMER0_BRKIN/TLI_R7
69,PB10,gpio,I2C1_SCL/USART2_TX/ETH_MII_RX_ER,TIMER1_CH2/TLI_G4/SPI1_SCK/I2S1_CK
70,PB11,gpio,I2C1_SDA/USART2_RX/ETH_MII_TX_EN,
71,VSS_1,ground,,
72,VDD_1,power,,
