BallName,PinName,PinType,Alternate,Remap
A1,VSS,ground,,
A2,PB8,gpio,TIMER15_CH0/TIMER3_CH2/HPDF_CKIN7,
A3,VDDLDO,power,,
A4,VCORE,power,,
A5,PB6,gpio,TIMER15_MCH0/TIMER3_CH0/EXMC_D11/I2C0_SCL/I2C3_SCL/USART0_TX/CAN1_TX/OSPIM_P0_CSN/HPDF_DATAIN5/EXMC_SDNE1/DCI_D5/UART4_TX/EVENTOUT,
A6,PB3,gpio,,
A7,PG11,gpio,EXMC_D29/SPI0_SCK/I2S0_CK/ETH1_MII_TX_EN/ETH1_RMII_TX_EN/RSPDIF_CH0/OSPIM_P1_IO7/SDIO1_D2/ETH0_MII_TX_EN/ETH0_RMII_TX_EN/DCI_D3/TLI_B3/EVENTOUT,
A8,PG9,gpio,EXMC_D30/CAN2_TX/TIMER7_BRKIN1/TIMER30_ETI/SPI0_MISO/ETH1_MII_TX_CLK/USART5_RX/RSPDIF_CH3/OSPIM_P0_IO6/SAI1_FS1/SDIO1_D0/EXMC_NE1/DCI_VSYNC/EVENTOUT,
A9,PD3,gpio,HPDF_CKOUT/SPI1_SCK/I2S1_CK/USART1_CTS/EXMC_CLK/DCI_D5/TLI_G7/EVENTOUT,
A10,PD1,gpio,HPDF_DATAIN6/UART3_TX/CAN0_TX/EXMC_D3/TRIGSEL_IN6/EVENTOUT,
A11,PA15,gpio,,
A12,PA14,gpio,,
A13,VDDLDO,power,,
A14,VCORE,power,,
A15,VSS,ground,,
B1,PE4,gpio,TRACED1/TIMER0_BRKIN1/SAI0_DAT1/HPDF_DATAIN3/TIMER14_MCH0/SPI3_NSS/SAI0_FS0/SAI2_FS0/SAI2_DAT1/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
B2,PE3,gpio,TRACED0/TIMER14_BRKIN0/SAI0_SD1,
B3,PB9,gpio,TIMER16_CH0/TIMER3_CH3/HPDF_DATAIN7/I2C0_SDA/SPI1_NSS/I2S1_WS/I2C3_SDA/SDIO0_CMDDIR/UART3_TX/CAN0_TX/SDIO1_D5/I2C3_SMBA/SDIO0_D5/DCI_D7/TLI_B7/EVENTOUT,
B4,PE0,gpio,TIMER3_ETI/UART7_RX/SAI1_MCLK0/EXMC_NBL0/DCI_D2/TLI_R0/EVENTOUT,
B5,PB7,gpio,TIMER16_MCH0/TIMER3_CH1/I2C0_SDA/I2C3_SDA/USART0_RX/HPDF_CKIN5/EXMC_NL/EXMC_NADV/DCI_VSYNC/EVENTOUT/LVD_IN,
B6,PB4,gpio,,
B7,PG13,gpio,TRACED0/SPI5_SCK/I2S5_CK/ETH1_MII_TXD0/ETH1_RMII_TXD0/USART5_CTS/TIMER44_CH0/SDIO1_D6/ETH0_MII_TXD0/ETH0_RMII_TXD0/EXMC_A24/TIMER22_CH1/TLI_R0/EVENTOUT,
B8,PD7,gpio,HPDF_DATAIN4/SPI0_MOSI/I2S0_SD/HPDF_CKIN1/USART1_CK/RSPDIF_CH0/OSPIM_P0_IO7/SDIO1_CMD/EXMC_NE0/EXMC_NCE/EVENTOUT,
B9,PD5,gpio,TIMER7_CH3/USART1_TX/OSPIM_P0_IO5/EXMC_NWE/EVENTOUT,
B10,PD2,gpio,TRACED2/EXMC_D7/TIMER2_ETI/TIMER14_BRKIN0/UART4_RX/TLI_B7/SDIO0_CMD/DCI_D11/TLI_B2/EVENTOUT,
