BallName,PinName,PinType
A1,PE3,gpio
A2,PE1,gpio
A3,PB8,gpio
A4,BOOT0,gpio
A5,PD7,gpio
A6,PD5,gpio
A7,PB4,gpio
A8,PB3,gpio
A9,PA15,gpio
A10,PA14,gpio
A11,PA13,gpio
A12,PA12,gpio
B1,PE4,gpio
B2,PE2,gpio
B3,PB9,gpio
B4,PB7,gpio
B5,PB6,gpio
B6,PD6,gpio
B7,PD4,gpio
B8,PD3,gpio
B9,PD1,gpio
B10,PC12,gpio
B11,PC10,gpio
B12,PA11,gpio
C1,PC13-TAMPER-RTC,gpio
C2,PE5,gpio
C3,PE0,gpio
C4,VDD,power
C5,PB5,gpio
C8,PD2,gpio
C9,PD0,gpio
C10,PC11,gpio
C11,NC,nc
C12,PA10,gpio
D1,PC14-OSC32IN,gpio
D2,PE6,gpio
D3,VSS,ground
D10,PA9,gpio
D11,PA8,gpio
D12,PC9,gpio
E1,PC15-OSC32OUT,gpio
E2,VBAT,power
E3,NC,nc
E10,PC8,gpio
E11,PC7,gpio
E12,PC6,gpio
F1,PH0/OSCIN,gpio
F2,VSS,ground
F11,VSS,ground
F12,VSS,ground
G1,PH1/OSCOUT,gpio
G2,VDD,power
G11,VDD,power
G12,VDD,power
H1,PC0,gpio
H2,NRST,reset
H3,PDR_ON,power
H10,PD15,gpio
H11,PD14,gpio
H12,PD13,gpio
J1,VSSA,ground
J2,PC1,gpio
J3,PC2,gpio
J10,PD12,gpio
J11,PD11,gpio
J12,PD10,gpio
K1,VREFN,power
K2,PC3,gpio
K3,PA2,gpio
K4,PA5,gpio
K5,PC4,gpio
K8,PD9,gpio
K9,PB11,gpio
K10,PB15,gpio
K11,PB14,gpio
K12,PB13,gpio
L1,VREFP,power
L2,PA0-WKUP,gpio
L3,PA3,gpio
L4,PA6,gpio
L5,PC5,gpio
L6,PB2,gpio
L7,PE8,gpio
L8,PE10,gpio
L9,PE12,gpio
L10,PB10,gpio
L11,NC,nc
L12,PB12,gpio
M1,VDDA,power
M2,PA1,gpio
M3,PA4,gpio
M4,PA7,gpio
M5,PB0,gpio
M6,PB1,gpio
M7,PE7,gpio
M8,PE9,gpio
M9,PE11,gpio
M10,PE13,gpio
M11,PE14,gpio
M12,PE15,gpio
