BallName,PinName,PinType,Alternate,Remap
E13,PH14,gpio,TIMER7_CH1_ON/EXMC_D22/DCI_D4/TLI_G3/EVENTOUT,
E14,PI0,gpio,TIMER7_CH2_ON/EXMC_D23/DCI_D11/TLI_G4/EVENTOUT/TIMER4_CH3/SPI1_NSS/I2S1_WS/EXMC_D24/DCI_D13/TLI_G5,
E15,PA9,gpio,TIMER0_CH1/I2C2_SMBA/SPI1_SCK/I2S1_CK/USART0_TX/SDIO_D2/DCI_D0/EVENTOUT/USBFS_VBUS,
F1,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
F2,VSS,ground,,
F3,VDD,power,,
F4,PH2,gpio,ENET_MII_CRS/EXMC_SDCKE0/TLI_R0/EVENTOUT,
F12,VSS,ground,,
F13,NC,nc,,
F14,PC9,gpio,CK_OUT1/TIMER2_CH3/TIMER7_CH3/I2C2_SDA/I2S_CKIN/SDIO_D1/DCI_D3/EVENTOUT,
F15,PA8,gpio,CK_OUT0/TIMER0_CH0/I2C2_SCL/USART0_CK/USBFS_SOF/SDIO_D1/TLI_R6/EVENTOUT/CTC_SYNC,
G1,PH0/OSCIN,gpio,,
G2,VSS,ground,,
G3,VDD,power,,
G4,PH3,gpio,ENET_MII_COL/EXMC_SDNE0/TLI_R1/EVENTOUT/I2C1_TXFRAME,
G12,VSS,ground,,
G13,VDD,power,,
G14,PC8,gpio,TIMER2_CH2/TIMER7_CH2/USART5_CK/SDIO_D0/DCI_D2/EVENTOUT,
G15,PC7,gpio,TIMER2_CH1/TIMER7_CH1/SPI1_SCK/I2S1_CK/I2S2_MCK/USART5_RX/SDIO_D7/DCI_D1/TLI_G6/EVENTOUT,
H1,PH1/OSCOUT,gpio,,
H2,PF2,gpio,I2C1_SMBA/EXMC_A2/EVENTOUT,
H3,PF1,gpio,I2C1_SDA/EXMC_A0/EVENTOUT/CTC_SYNC/I2C1_SCL/EXMC_A1,
H4,PH4,gpio,I2C1_SCL/USBHS_ULPI_NXT/EVENTOUT,
H12,VSS,ground,,
H13,VDD,power,,
H14,PG8,gpio,SPI5_NSS/USART5_RTS/ENET_PPS_OUT/EXMC_SDCLK/EVENTOUT,
H15,PC6,gpio,TIMER2_CH0/TIMER7_CH0/I2S1_MCK/USART5_TX/SDIO_D6/DCI_D0/TLI_HSYNC/EVENTOUT,
J1,NRST,reset,,
J2,PF3,gpio,EXMC_A3/EVENTOUT/I2C1_TXFRAME/ADC2_IN9,
J3,PF4,gpio,EXMC_A4/EVENTOUT/ADC2_IN14,
J4,PH5,gpio,I2C1_SDA/SPI4_NSS/EXMC_SDNWE/EVENTOUT,
J12,VDD,power,,
J13,VDD,power,,
J14,PG7,gpio,USART5_CK/EXMC_INT2/DCI_D13/TLI_PIXCLK/EVENTOUT,
J15,PG6,gpio,EXMC_INT1/DCI_D12/TLI_R7/EVENTOUT,
K1,PF7,gpio,TIMER10_CH0/SPI4_SCK/UART6_TX/EXMC_NREG/EVENTOUT/ADC2_IN5,
K2,PF6,gpio,TIMER9_CH0/SPI4_NSS/UART6_RX/EXMC_NIORD/EVENTOUT/ADC2_IN4,
K3,PF5,gpio,EXMC_A5/EVENTOUT/ADC2_IN15,
K4,VDD,power,,
K12,PH12,gpio,TIMER4_CH2/EXMC_D20/DCI_D3/TLI_R6/EVENTOUT,
