PadNumber,PinName,PinType
1,PE2,gpio
2,PE3,gpio
3,PE4,gpio
4,PE5,gpio
5,PE6,gpio
6,VBAT,power
7,PC13-TAMPER-RTC,gpio
8,PC14-OSC32IN,gpio
9,PC15-OSC32OUT,gpio
10,PF0,gpio
11,PF1,gpio
12,PF2,gpio
13,PF3,gpio
14,PF4,gpio
15,PF5,gpio
16,VSS,ground
17,VDD,power
18,PF6,gpio
19,PF7,gpio
20,PF8,gpio
21,PF9,gpio
22,PF10,gpio
23,PH0/OSCIN,gpio
24,PH1/OSCOUT,gpio
25,NRST,reset
26,PC0,gpio
27,PC1,gpio
28,PC2,gpio
29,PC3,gpio
30,VDD,power
31,VSSA,ground
32,VREFP,power
33,VDDA,power
34,PA0-WKUP,gpio
35,PA1,gpio
36,PA2,gpio
37,PA3,gpio
38,VSS,ground
39,VDD,power
40,PA4,gpio
41,PA5,gpio
42,PA6,gpio
43,PA7,gpio
44,PC4,gpio
45,PC5,gpio
46,PB0,gpio
47,PB1,gpio
48,PB2,gpio
49,PF11,gpio
50,PF12,gpio
51,VSS,ground
52,VDD,power
53,PF13,gpio
54,PF14,gpio
55,PF15,gpio
56,PG0,gpio
57,PG1,gpio
58,PE7,gpio
59,PE8,gpio
60,PE9,gpio
61,VSS,ground
62,VDD,power
63,PE10,gpio
64,PE11,gpio
65,PE12,gpio
66,PE13,gpio
67,PE14,gpio
68,PE15,gpio
69,PB10,gpio
70,PB11,gpio
71,NC,nc
72,VDD,power
73,PB12,gpio
74,PB13,gpio
75,PB14,gpio
76,PB15,gpio
77,PD8,gpio
78,PD9,gpio
79,PD10,gpio
80,PD11,gpio
81,PD12,gpio
82,PD13,gpio
83,VSS,ground
84,VDD,power
85,PD14,gpio
86,PD15,gpio
87,PG2,gpio
88,PG3,gpio
89,PG4,gpio
90,PG5,gpio
91,PG6,gpio
92,PG7,gpio
93,PG8,gpio
94,VSS,ground
95,VDD,power
96,PC6,gpio
97,PC7,gpio
98,PC8,gpio
99,PC9,gpio
100,PA8,gpio
101,PA9,gpio
102,PA10,gpio
103,PA11,gpio
104,PA12,gpio
105,PA13,gpio
106,NC,nc
107,VSS,ground
108,VDD,power
109,PA14,gpio
110,PA15,gpio
111,PC10,gpio
112,PC11,gpio
113,PC12,gpio
114,PD0,gpio
115,PD1,gpio
116,PD2,gpio
117,PD3,gpio
118,PD4,gpio
119,PD5,gpio
120,VSS,ground
121,VDD,power
122,PD6,gpio
123,PD7,gpio
124,PG9,gpio
125,PG10,gpio
126,PG11,gpio
127,PG12,gpio
128,PG13,gpio
129,PG14,gpio
130,VSS,ground
131,VDD,power
132,PG15,gpio
133,PB3,gpio
134,PB4,gpio
135,PB5,gpio
136,PB6,gpio
137,PB7,gpio
138,BOOT0,gpio
139,PB8,gpio
140,PB9,gpio
141,PE0,gpio
142,PE1,gpio
143,PDR_ON,power
144,VDD,power
