PadNumber,PinName,PinType,Alternate,Remap
1,PC13,gpio,TIMER0_ETI/TIMER0_BRKIN0/RTC_TS/RTC_OUT 0/WKUP1,
2,PC14-OSCXIN,gpio,USART0_TX/TIMER0_ETI/TIMER0_ BRK/IN1/USART1_RTS_DE_CK/TIMER16_CH0/TIMER/2_CH1/EVENTOUT/OSC32IN/OSCIN,
3,PC15-OSCXOUT,gpio,OSC32EN/OSC EN/TIMER0_ETI/TIMER/2_CH2/OSC32OUT/OSCOUT,
4,PF3,gpio,,
5,VREFP,power,,
6,VDD/VDDA,power,,
7,VSS/VSSA/VREFN,ground,,
8,PF0-OSCIN,gpio,TIMER13_CH0/OSCIN,
9,PF1-OSCOUT,gpio,OSC EN/OSCOUT,
10,PF2-NRST,gpio,,
11,PA0,gpio,SPI1_SCK/USART1_CTS/TIMER15 _CH0/USART0_TX/TIMER0_CH0/CM P0_OUT/ADC_IN0/WKUP 0/C MP0_IM5,
12,PA1,gpio,SPI0_SCK/I2S0_CK/USART1_RTS_DE_/CK/TIMER16_CH0/SPI1_IO2/USART0_RX/TIME/R0_CH1/I2C0_SMBA/EVENTOUT/ADC_IN1，CMP0_IP,
13,PA2,gpio,SPI0_MOS I/I2S0_SD/USART1_TX/TIM/ER15_CH0_ON/TIMER2_ETI/SPI1_IO3/TIMER0_/CH2/USART2_TX/CMP1_OUT,
14,PA3,gpio,ADC_IN2/WKUP 3/LSCK_OUT/CMP1_I/M5/SPI1_MISO/USART1_RX/TIMER0_ CH0_/ON/TIMER0_CH3/USART2_RX/EVENTOUT/ADC_IN3/CMP1_IP,
15,PA4,gpio,SPI0_N SS/I2S0_WS/USART1_TX/TIME/R0_CH1_ON/S PI1_MOSI/TIMER13_CH0/TIMER1/6_CH0_ON/EVENTOUT/ADC_IN4/RTC_OUT1， RTC_TS/RTC_/OUT0,
16,PA5,gpio,SPI0_SCK/I2S0_CK/USART1_RX/TIME/R0_CH2_ON/SPI1_IO2/TIMER0_CH0/EVENTOUT/ADC_IN5,
17,PA6,gpio,SPI0_MISO/TIMER2_CH0/TIMER0_B RK/IN0/SPI1_IO3/TIMER15_CH0/USART2_CTS/CM/P0_OUT/ADC_IN6,
18,PA7,gpio,SPI0_MOS I/I2S0_SD/TIMER2_CH1/TIM/ER0_CH0_ON/TIMER13_CH0/TIMER16_CH0/US/ART2_RTS_DE_CK/CMP1_OUT/ADC_IN7,
19,PB0,gpio,SPI0_NS S/I2S0_WS/TIMER2_CH2/TIM/ER0_CH1_ON/CMP0_OUT/ADC_IN8,
20,PB1,gpio,T IMER13_CH0/TIMER2_CH3/TIMER0_ C/H2_ON/TIMER0_ CH1_ON/USART2_RTS_DE_CK/EVENTOUT/ADC_IN9/CMP0_IM6,
21,PB2,gpio,USART0_RX/SPI1_MISO/CK_OUT1/EV/ENTOUT/CMP0_IM4/ADC_IN10,
22,PB10,gpio,USART2_RX/SPI1_SCK/I2C1_SCL/CM/P0_OUT/ADC_IN11,
23,PB11,gpio,SPI1_MOSI/USART2_TX/I2C1_SDA/C/MP1_OUT,
24,PB12,gpio,SPI1_NSS/TIMER0_ BRKIN1/TIMER0_B/RKIN0/USART2_RTS_DE_CK/EVENTOUT,
25,PB13,gpio,SPI1_SCK/USART2_CTS/TIMER0_ CH0,
26,PB14,gpio,SPI1_MISO/TIMER0_ CH1_ON/EVENTO/UT,
27,PB15,gpio,SPI1_MOSI/TIMER0_ CH2_ON/EVENTO/UT/RTC_REFIN,
28,PA8,gpio,CK_OUT 0/USART1_TX/TIMER0_CH0/SPI1_NSS/EVENT OUT/SPI0_NSS/I2S0_WS/TIM/ER0_CH1_ON/TIMER0_ CH2_ON/TIMER2_CH2/TI/MER2_CH3/TIMER13_CH0/USART0_RX/CK_OUT,
29,PA9,gpio,CK_OUT 0/USART0_TX/TIMER0_CH1/T/IMER2_ETI/SPI1_MISO/I2C0_SCL/EVENTOUT,
30,PC6,gpio,TIMER2_CH0,
31,PC7,gpio,TIMER2_CH1,
32,PA10,gpio,SPI1_MOSI/USART0_RX/TIMER0_CH2/CK_OUT1/TIMER16_B RKIN0/I2C0_SDA/EVENTO/UT,
33,PA11,gpio,SPI0_MISO/USART0_CTS/TIMER0_CH3/SPI1_IO2/TIMER0_ BRKIN1/I2C1_SCL/CMP0_/OUT,
34,PA12,gpio,SPI0_MOSI/I2S0_SD/USART0_RTS_DE,
35,PA13,gpio,ADC_IN12,
36,PA14-BOOT0,gpio,,
37,PA15,gpio,BOOT0/SPI0_NSS/I2S0_WS/USART1_RX/TIM/ER0_CH0/CK_OUT1/USART0_RTS_DE_CK/EVE/NTOUT,
38,PD0,gpio,EVENTOUT/SPI1_NSS/TIMER15_CH0,
39,PD1,gpio,EVENTOUT/SPI1_SCK/TIMER16_CH0,
40,PD2,gpio,TIMER2_ETI/TIMER0_ CH0_ON,
41,PD3,gpio,USART1_CTS/SPI1_MISO/TIMER0_CH1,
42,PB3,gpio,SPI0_SCK/I2S0_CK/TIMER0_CH1/TIM/ER2_CH1/USART0_RTS_DE_CK/EVENTOUT/CMP1_IM6,
43,PB4,gpio,SPI0_MISO/TIMER2_CH0/USART0_CT/S/TIMER16_B RKIN0/EVENTOUT/CMP1_IM7,
44,PB5,gpio,SPI0_MOSI/I2S0_SD/TIMER2_CH1/TIM/ER15_BRKIN0/TIMER2_CH2/SPI1_MISO/I2C0_S/MBA/CMP1_OUT/WKUP5,
