PadNumber,PinName,PinType,Alternate,Remap
1,PN7,gpio,,
2,PA0,gpio,TSEL/CK_OUT/TIMER2_CH0/CFMUREF/UART3_RX/CMP0_OUT/EVENTOUT/WKUP1,
3,VCAP,power,,
4,BOOT-PN6,boot,,
5,PA1,gpio,TIMER2_CH2/POC_IN5/ADC2_PROC/UART3_TX/CMP1_OUT/GTOC0_IN/GTOC1_IN/GTOC2_IN/GTOC3_IN/EVENTOUT,
6,NRST-PN5,reset,PN5,
7,PB15-OSCOUT,gpio,UART1_RX/EVENTOUT/OSCOUT,
8,VSS,ground,,
9,PB14-OSCIN,gpio,UART1_TX/EVENTOUT/OSCIN,
10,VDD,power,,
11,PN2,gpio,POC_IN4/EVENTOUT/NMI,
12,PG15,gpio,TIMER2_CH0/UART1_TX/CAN_TX/SPI_NSS/GPTIMER0_CH0/GPTIMER1_CH0/GPTIMER0_CH0_INV/GPTIMER1_CH0_INV/EVENTOUT/NJTRST,
13,PG14,gpio,TIMER2_CH2/ADC0_PROC/UART3_RX/SPI_NSS/GPTIMER0_CH1/GPTIMER1_CH1/GPTIMER0_CH1_INV/GPTIMER1_CH1_INV/EVENTOUT/JTMS/SWDIO,
14,PG13,gpio,,
15,PG12,gpio,JTDI/TIMER2_CH1/UART3_TX/GPTIMER0_CH1/GTOC1_IN/GPTIMER0_CH1_INV/EVENTOUT/JTCK/SWCLK,
16,PG11,gpio,TIMER1_CH2/TIMER2_CH2/UART0_TX/GTOC2_IN/GPTIMER0_CH1/GPTIMER0_CH1_INV/EVENTOUT/JTDO/TRACESWO,
17,PF14,gpio,CPTIMERW_OC0/TIMER2_CH2/UART1_RX/UART3_RX/CAN_RX/GPTIMER1_CH0/GPTIMER1_CH0_INV/EVENTOUT,
18,PF13,gpio,CPTIMERW_IC0/TIMER2_CH3/UART1_TX/UART3_TX/CAN_TX/GPTIMER1_CH1/GPTIMER1_CH1_INV/EVENTOUT,
19,PF12,gpio,CK_OUT/POC_IN2/UART3_RX/CAN_RX/SPI_MISO/GTOC0_IN/GTOC1_IN/GTOC2_IN/GTOC3_IN/GPTIMER0_CPPO/EVENTOUT,
20,PF11,gpio,CPTIMERW_OC1/TIMER1_CH0/CFMUREF/UART3_TX/CAN_TX/SPI_SCK/EVENTOUT,
21,PF10,gpio,CPTIMERW_IC1/TIMER1_CH1/ADCSM1/UART2_TX/I2C_SMBA/I2C_SDA/SPI_IO3/ADCSM3/GPTIMER0_CH0/GPTIMER0_CH0_INV/EVENTOUT,
22,PF9,gpio,TIMER1_CH2/ADCSM2/UART2_RX/I2C_SCL/SPI_IO2/ADCSM4/GPTIMER0_CH1/GPTIMER0_CH1_INV/EVENTOUT,
23,PF8,gpio,TIMER1_CH3/ADC2_TRG/UART2_TX/I2C_SDA/I2C_SMBA/SPI_MOSI/GPTIMER0_CH0/GPTIMER0_CH0_INV/EVENTOUT,
24,VDD,power,,
25,PE14,gpio,POC_IN1/TIMER7_BRKIN/GTOC0_IN/GTOC1_IN/GTOC2_IN/GTOC3_IN/GPTIMER1_CPPO/EVENTOUT,
26,VSS,ground,,
27,PE13,gpio,TIMER7_CH0/TIMER7_CH0_INV,
28,PE12,gpio,TIMER7_CH1/TIMER7_CH1_INV,
29,PE11,gpio,TIMER7_CH2/TIMER7_CH3/TIMER7_CH2_INV/TIMER7_CH3_INV,
30,PE10,gpio,TIMER7_MCH0/TIMER7_MCH3/TIMER7_MCH0_INV/TIMER7_MCH3_INV,
31,PE9,gpio,TIMER7_MCH1/TIMER7_MCH1_INV,
32,PE8,gpio,TIMER7_MCH2/TIMER7_MCH2_INV,
33,PD14,gpio,TIMER0_MCH2/TIMER0_MCH2_INV,
