BallName,PinName,PinType,Alternate,Remap
A1,PE3,gpio,EVENTOUT,
A2,PE1,gpio,TIMER0_CH1_ON/DCI_D3/EVENTOUT,
A3,PB8,gpio,TIMER1_CH0/TIMER1_ETI/TIMER3_CH2/TIMER9_CH0/I2C0_SCL/CAN0_RX/SDIO_D4/DCI_D6/EVENTOUT,
A4,BOOT0,boot,,
A5,PD7,gpio,USART1_CK/EVENTOUT,
A6,PD5,gpio,USART1_TX/EVENTOUT,
A7,PB4,gpio,,
A8,PB3,gpio,,
A9,PA15,gpio,,
A10,PA14,gpio,,
A11,PA13,gpio,,
A12,PA12,gpio,TIMER0_ETI/USART0_RTS/USART5_RX,
B1,PE4,gpio,DCI_D4/EVENTOUT,
B2,PE2,gpio,EVENTOUT,
B3,PB9,gpio,TIMER1_CH1/TIMER3_CH3/TIMER10_CH0/I2C0_SDA/SPI1_NSS/I2S1_WS/CAN0_TX/SDIO_D5/DCI_D7/EVENTOUT,
B4,PB7,gpio,TIMER3_CH1/I2C0_SDA/USART0_RX/DCI_VSYNC/EVENTOUT,
B5,PB6,gpio,TIMER3_CH0/I2C0_SCL/USART0_TX/CAN1_TX/DCI_D5/EVENTOUT,
B6,PD6,gpio,SPI2_MOSI/I2S2_SD/USART1_RX/DCI_D10/EVENTOUT,
B7,PD4,gpio,USART1_RTS/EVENTOUT,
B8,PD3,gpio,SPI1_SCK/I2S1_CK/USART1_CTS/DCI_D5/EVENTOUT,
B9,PD1,gpio,SPI1_NSS/I2S1_WS/CAN0_TX/EVENTOUT,
B10,PC12,gpio,I2C1_SDA/SPI2_MOSI/I2S2_SD/USART2_CK/UART4_TX/SDIO_CK/DCI_D9/EVENTOUT,
B11,PC10,gpio,SPI2_SCK/I2S2_CK/USART2_TX/UART3_TX/SDIO_D2/DCI_D8/EVENTOUT,
B12,PA11,gpio,TIMER0_CH3/USART0_CTS/USART5_TX/CAN0_RX/USBFS_DM/EVENTOUT,
C1,PC13-TAMPER-RTC,gpio,EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS,
C2,PE5,gpio,TIMER8_CH0/DCI_D6/EVENTOUT,
C3,PE0,gpio,TIMER3_ETI/DCI_D2/EVENTOUT,
C4,VDD,power,,
C5,PB5,gpio,TIMER2_CH1/I2C0_SMBA/SPI0_MOSI/SPI2_MOSI/I2S2_SD/CAN1_RX/USBHS_ULPI_D7/DCI_D10/EVENTOUT,
C8,PD2,gpio,TIMER2_ETI/UART4_RX/SDIO_CMD/DCI_D11/EVENTOUT,
C9,PD0,gpio,SPI2_MOSI/I2S2_SD/CAN0_RX/EVENTOUT,
C10,PC11,gpio,I2S2_ADD_SD/SPI2_MISO/USART2_RX/UART3_RX/SDIO_D3/DCI_D4/EVENTOUT,
C11,NC,nc,,
C12,PA10,gpio,TIMER0_CH2/USART0_RX/USBFS_ID/DCI_D1/EVENTOUT/I2C2_TXFRAME,
D1,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
D2,PE6,gpio,TIMER8_CH1/DCI_D7/EVENTOUT,
D3,VSS,ground,,
D10,PA9,gpio,TIMER0_CH1/I2C2_SMBA/SPI1_SCK/I2S1_CK/USART0_TX/SDIO_D2/DCI_D0/EVENTOUT/USBFS_VBUS,
D11,PA8,gpio,CK_OUT0/TIMER0_CH0/I2C2_SCL/USART0_CK,
D12,PC9,gpio,CK_OUT1/TIMER2_CH3/TIMER7_CH3/I2C2_SDA/I2S_CKIN/SDIO_D1/DCI_D3/EVENTOUT,
E1,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
E2,VBAT,power,,
E3,NC,nc,,
E10,PC8,gpio,TIMER2_CH2/TIMER7_CH2/USART5_CK/SDIO_D0/DCI_D2/EVENTOUT,
