PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,EVENTOUT,
2,PE3,gpio,TRACED0/EVENTOUT,
3,PE4,gpio,DCI_D4/EVENTOUT,
4,PE5,gpio,TIMER8_CH0/DCI_D6/EVENTOUT,
5,PE6,gpio,TIMER8_CH1/DCI_D7/EVENTOUT,
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS,
8,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
9,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
10,PF0,gpio,I2C1_SDA/EVENTOUT/CTC_SYNC,
11,PF1,gpio,I2C1_SCL/EVENTOUT,
12,PF2,gpio,I2C1_SMBA/EVENTOUT,
13,PF3,gpio,EVENTOUT/I2C1_TXFRAME/ADC2_IN9,
14,PF4,gpio,EVENTOUT/ADC2_IN14,
15,PF5,gpio,EVENTOUT,
16,VSS,ground,,
17,VDD,power,,
18,PF6,gpio,TIMER9_CH0/EVENTOUT/ADC2_IN4,
19,PF7,gpio,TIMER10_CH0/EVENTOUT/ADC2_IN5,
20,PF8,gpio,TIMER12_CH0/EVENTOUT/ADC2_IN6,
21,PF9,gpio,TIMER13_CH0/EVENTOUT/ADC2_IN7,
22,PF10,gpio,DCI_D11/EVENTOUT/ADC2_IN8,
23,PH0/OSCIN,gpio,,
24,PH1/OSCOUT,gpio,,
25,NRST,reset,,
26,PC0,gpio,USBHS_ULPI_STP/EVENTOUT/ADC012_IN10,
27,PC1,gpio,SPI2_MOSI/I2S2_SD/SPI1_MOSI/I2S1_SD/EVENTOUT/ADC012_IN11,
28,PC2,gpio,SPI1_MISO/I2S1_ADD_SD/USBHS_ULPI_DIR/EVENTOUT/ADC012_IN12,
29,PC3,gpio,SPI1_MOSI/I2S1_SD/USBHS_ULPI_NXT/EVENTOUT/ADC012_IN13,
30,VDD,power,,
31,VSSA,ground,,
32,VREFP,power,,
33,VDDA,power,,
34,PA0-WKUP,gpio,TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI/USART1_CTS/UART3_TX/EVENTOUT/ADC012_IN0/WKUP,
35,PA1,gpio,TIMER1_CH1/TIMER4_CH1/USART1_RTS/UART3_RX/EVENTOUT/ADC012_IN1,
36,PA2,gpio,TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/I2S_CKIN/USART1_TX/EVENTOUT/ADC012_IN2,
37,PA3,gpio,TIMER1_CH3/TIMER4_CH3/TIMER8_CH1/ADC012_IN3,
38,VSS,ground,,
39,VDD,power,,
40,PA4,gpio,SPI0_NSS/SPI2_NSS/I2S2_WS/USART1_CK/USBHS_SOF/DCI_HSYNC/EVENTOUT/ADC01_IN4/DAC0_OUT0,
41,PA5,gpio,TIMER1_CH0/TIMER1_ETI/TIMER7_CH0_ON/SPI0_SCK/USBHS_ULPI_CK/EVENTOUT/ADC01_IN5/DAC0_OUT1,
42,PA6,gpio,TIMER0_BRKIN/TIMER2_CH0/TIMER7_BRKIN/SPI0_MISO/I2S1_MCK/TIMER12_CH0/SDIO_CMD/DCI_PIXCLK/EVENTOUT/ADC01_IN6,
43,PA7,gpio,TIMER0_CH0_ON/TIMER2_CH1/ADC01_IN7,
44,PC4,gpio,,
45,PC5,gpio,EVENTOUT/ADC01_IN14/USART2_RX/ADC01_IN15,
46,PB0,gpio,TIMER0_CH1_ON/TIMER2_CH2,
47,PB1,gpio,ADC01_IN8/IREF/TIMER0_CH2_ON/TIMER2_CH3/TIMER7_CH2_ON/USBHS_ULPI_D2/SDIO_D2/EVENTOUT/ADC01_IN9,
48,PB2,gpio,,
49,PF11,gpio,DCI_D12/EVENTOUT,
50,PF12,gpio,EVENTOUT,
51,VSS,ground,,
52,VDD,power,,
53,PF13,gpio,EVENTOUT,
54,PF14,gpio,EVENTOUT,
55,PF15,gpio,EVENTOUT,
56,PG0,gpio,EVENTOUT,
57,PG1,gpio,EVENTOUT,
58,PE7,gpio,TIMER0_ETI/EVENTOUT,
59,PE8,gpio,TIMER0_CH0_ON/EVENTOUT,
60,PE9,gpio,TIMER0_CH0/EVENTOUT,
61,VSS,ground,,
62,VDD,power,,
63,PE10,gpio,TIMER0_CH1_ON/EVENTOUT,
64,PE11,gpio,TIMER0_CH1/EVENTOUT,
65,PE12,gpio,TIMER0_CH2_ON/EVENTOUT,
66,PE13,gpio,TIMER0_CH2/EVENTOUT,
67,PE14,gpio,TIMER0_CH3/EVENTOUT,
68,PE15,gpio,TIMER0_BRKIN/EVENTOUT,
69,PB10,gpio,TIMER1_CH2/I2C1_SCL/SPI1_SCK/I2S1_CK/I2S2_MCK/USART2_TX/USBHS_ULPI_D3/SDIO_D7/EVENTOUT,
70,PB11,gpio,TIMER1_CH3/I2C1_SDA/I2S_CKIN/USART2_RX/USBHS_ULPI_D4/EVENTOUT,
71,NC,nc,,
72,VDD,power,,
73,PB12,gpio,TIMER0_BRKIN/I2C1_SMBA/SPI1_NSS/I2S1_WS/USART2_CK/CAN1_RX/USBHS_ULPI_D5/USBHS_ID/EVENTOUT,
74,PB13,gpio,TIMER0_CH0_ON/SPI1_SCK/I2S1_CK/USART2_CTS/CAN1_TX/USBHS_ULPI_D6/EVENTOUT/I2C1_TXFRAME/USBHS_VBUS,
75,PB14,gpio,TIMER0_CH1_ON/TIMER7_CH1_ON/SPI1_MISO/I2S1_ADD_SD/USART2_RTS/TIMER11_CH0/USBHS_DM/EVENTOUT,
76,PB15,gpio,RTC_REFIN/TIMER0_CH2_ON/TIMER7_CH2_ON,
77,PD8,gpio,,
78,PD9,gpio,USART2_TX/EVENTOUT/USART2_RX,
79,PD10,gpio,USART2_CK/EVENTOUT,
80,PD11,gpio,USART2_CTS/EVENTOUT,
