PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,,
2,PE3,gpio,,
3,PE4,gpio,,
4,PE5,gpio,,
5,PE6,gpio,,TIMER8_CH0
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,,
8,PC14-OSC32IN,gpio,,
9,PC15-OSC32OUT,gpio,,
10,VSS_5,ground,,
11,VDD_5,power,,
12,OSCIN-PD0,clock,,PD0
13,OSCOUT-PD1,clock,,PD1
14,NRST,reset,,
15,PC0,gpio,,
16,PC1,gpio,,
17,PC2,gpio,,
18,PC3,gpio,,
19,VSSA,ground,,
20,VREFN,power,,
21,VREFP,power,,
22,VDDA,power,,
23,PA0-WKUP,gpio,,
24,PA1,gpio,,
25,PA2,gpio,,
26,PA3,gpio,,
27,VSS_4,ground,,
28,VDD_4,power,,
29,PA4,gpio,,
30,PA5,gpio,,SPI2_NSS/I2S2_WS
31,PA6,gpio,,
32,PA7,gpio,,TIMER0_BRKIN
33,PC4,gpio,,TIMER0_CH0_ON
34,PC5,gpio,,
35,PB0,gpio,,
36,PB1,gpio,,TIMER0_CH1_ON
37,PB2,gpio,,TIMER0_CH2_ON
38,PE7,gpio,,
39,PE8,gpio,,TIMER0_ETI
40,PE9,gpio,,TIMER0_CH0_ON
41,PE10,gpio,,TIMER0_CH0
42,PE11,gpio,,TIMER0_CH1_ON
43,PE12,gpio,,TIMER0_CH1
44,PE13,gpio,,TIMER0_CH2_ON
45,PE14,gpio,,TIMER0_CH2
46,PE15,gpio,,TIMER0_CH3
47,PB10,gpio,,
48,PB11,gpio,,TIMER1_CH2
49,VSS_1,ground,,
50,VDD_1,power,,
51,PB12,gpio,,
52,PB13,gpio,,
53,PB14,gpio,,
54,PB15,gpio,,
55,PD8,gpio,,
56,PD9,gpio,,USART2_TX/ETH_MII_RX_DV/ETH_RMII_CRS_DV
57,PD10,gpio,,USART2_RX/ETH_MII_RXD0/ETH_RMII_RXD0
58,PD11,gpio,,USART2_CK/ETH_MII_RXD1/ETH_RMII_RXD1
59,PD12,gpio,,USART2_CTS/ETH_MII_RXD2
60,PD13,gpio,,TIMER3_CH0/USART2_RTS/ETH_MII_RXD3
61,PD14,gpio,,TIMER3_CH1
62,PD15,gpio,,TIMER3_CH2
63,PC6,gpio,,TIMER3_CH3/CTC_SYNC
64,PC7,gpio,,TIMER2_CH0
65,PC8,gpio,,TIMER2_CH1
66,PC9,gpio,,TIMER2_CH2
67,PA8,gpio,,TIMER2_CH3
68,PA9,gpio,,
69,PA10,gpio,,
70,PA11,gpio,,
71,PA12,gpio,,
72,PA13,gpio,,
73,NC,nc,,
74,VSS_2,ground,,
75,VDD_2,power,,
76,PA14,gpio,,
77,PA15,gpio,,
78,PC10,gpio,,
79,PC11,gpio,,USART2_TX/SPI2_SCK/I2S2_CK
80,PC12,gpio,,USART2_RX/SPI2_MISO
81,PD0,gpio,,USART2_CK/SPI2_MOSI/I2S2_SD
82,PD1,gpio,,CAN0_RX
83,PD2,gpio,,CAN0_TX
84,PD3,gpio,,
85,PD4,gpio,,USART1_CTS
86,PD5,gpio,,USART1_RTS
87,PD6,gpio,,USART1_TX
88,PD7,gpio,,USART1_RX
89,PB3,gpio,,USART1_CK
90,PB4,gpio,,
91,PB5,gpio,,
92,PB6,gpio,,TIMER2_CH1/SPI0_MOSI/CAN1_RX
93,PB7,gpio,,USART0_TX/CAN1_TX/SPI0_IO2
94,BOOT0,boot,,USART0_RX/SPI0_IO3
95,PB8,gpio,,
96,PB9,gpio,,I2C0_SCL/CAN0_RX
97,PE0,gpio,,I2C0_SDA/CAN0_TX
98,PE1,gpio,,
99,VSS_3,ground,,
100,VDD_3,power,,
