PadNumber,PinName,PinType,Alternate,Remap
1,PE4,gpio,TIMER0_MCH1/TIMER19_MCH0/SPI1_MISO/MFCOM_D1/TRIGSEL_OUT2/EVENTOUT,
2,PE5,gpio,TIMER0_CH1/TIMER19_CH0/SPI1_SCK/I2S1_CK/MFCOM_D0/TRIGSEL_OUT1/EVENTOUT,
3,PC15,gpio,TIMER_ETI2/TIMER19_MCH1/TIMER19_CH1/CAN0_TX/MFCOM_D7/EVENTOUT,
4,PF0,gpio,TIMER19_CH1/CAN0_RX/MFCOM_D6/EVENTOUT,
5,VDD,power,,
6,VDDA,power,,
7,VSS,ground,,
8,PF6-OSCOUT,gpio,I2C0_SCL/EVENTOUT/OSCOUT,
9,PF7-OSCIN,gpio,I2C0_SDA/EVENTOUT/OSCIN,
10,PF5,gpio,TIMER0_MCH0/SPI0_MISO/USART1_CTS/EVENTOUT,
11,PC0,gpio,TIMER0_CH0/SPI0_SCK/EVENTOUT,
12,PC1,gpio,TIMER0_MCH3/EVENTOUT,
13,PA0-WKUP,gpio,TIMER0_CH3/EVENTOUT/CMP_IM_IP3/WKUP0,
14,PA1,gpio,CK_OUT/TIMER0_MCH2/SPI0_NSS/TRIGSEL_IN0/EVENTOUT,
15,PA2,gpio,TIMER0_CH2/SPI0_MOSI/TRIGSEL_IN1/EVENTOUT,
16,PA3,gpio,,
17,PA4,gpio,TIMER0_MCH1/USART0_TX/CAN0_TX/TIMER1_CH3/EVENTOUT/ADC0_IN11/CMP_IM_IP4/TIMER0_CH1/USART0_RX/CAN0_RX/ADC0_IN10/CMP_IM_IP5,
18,PA7,gpio,TIMER19_MCH1/TIMER1_CH1/TIMER19_BRKIN1/TRIGSEL_IN7/EVENTOUT/DAC_OUT,
19,PB1,gpio,TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/ADC0_IN9,
20,PE10,gpio,TIMER7_BRKIN2/EVENTOUT/I2C1_SCL/ADC0_IN14,
21,PE11,gpio,TIMER7_MCH1/TRIGSEL_IN8/EVENTOUT/I2C1_SDA/ADC0_IN13,
22,PE12,gpio,TIMER7_CH1/TRIGSEL_IN9/EVENTOUT/I2C1_SMBA/ADC0_IN12,
23,PE13,gpio,TIMER7_MCH0/TIMER7_CH0/SPI0_MISO/TRIGSEL_IN2/EVENTOUT/ADC0_IN7,
24,PE14,gpio,TIMER7_CH0/TIMER7_CH1/SPI0_SCK/TRIGSEL_IN3/EVENTOUT/ADC0_IN6,
25,PB13,gpio,TIMER_ETI0/SPI0_MOSI/USART0_TX/CAN0_TX/EVENTOUT/ADC0_IN5/ADC1_IN15,
26,PB14,gpio,TIMER1_CH2/SPI0_NSS/USART0_RX/CAN0_RX/EVENTOUT/ADC0_IN4/ADC1_IN14,
27,PB15,gpio,,
28,PD8,gpio,TIMER7_BRKIN1/USART1_TX/USART0_RTS/USART0_DE/EVENTOUT/TIMER7_BRKIN0/USART1_RX/USART0_CTS,
29,PD9,gpio,TIMER0_BRKIN2/USART1_RTS/USART1_DE/EVENTOUT/ADC0_IN3,
30,VSS_2,ground,,
31,VDD_2,power,,
32,PC7,gpio,TIMER0_MCH0/TIMER20_BRKIN1/I2S1_MCK/EVENTOUT/ADC1_IN8/ADC0_IN8,
33,PA8,gpio,TIMER0_BRKIN0/TIMER20_MCH2/SPI1_NSS/I2S1_WS/MFCOM_D7/MFCOM_D5/TRIGSEL_IN4/EVENTOUT/ADC1_IN3/NMI,
34,PA9,gpio,TIMER20_CH2/SPI1_MOSI/I2S1_SD/MFCOM_D6/MFCOM_D4/TRIGSEL_IN5/EVENTOUT/ADC1_IN2,
35,PA10,gpio,TIMER20_MCH0/I2C0_SCL/USART0_TX/MFCOM_D5/EVENTOUT/ADC1_IN1,
36,PA11,gpio,TIMER20_CH0/I2C0_SDA/USART0_RX/MFCOM_D4/EVENTOUT/TRIGSEL_IN13/ADC1_IN0,
37,PC10,gpio,TIMER7_MCH0/TIMER7_CH0/I2C0_SDA/USART0_RTS/USART0_DE/MFCOM_D3/TRIGSEL_OUT0/EVENTOUT/ADC0_IN1/CMP_IM_IP1,
38,PC11,gpio,TIMER19_MCH0/TIMER19_CH0/I2C0_SCL/USART0_CTS/MFCOM_D2/TRIGSEL_OUT3/EVENTOUT,
39,PC12,gpio,ADC0_IN0/CMP_IM_IP0/TIMER20_MCH1/TIMER7_CH0/USART1_TX/CAN1_TX/EVENTOUT/ADC1_IN5,
40,PD0,gpio,TIMER20_CH1/TIMER7_CH1/USART1_RX/CAN1_RX/EVENTOUT/ADC1_IN4,
41,PD6,gpio,TIMER7_MCH3/TIMER19_CH0/CAN1_TX/EVENTOUT/I2C1_SCL,
42,PD7,gpio,TIMER7_CH3/TIMER19_CH1/CAN1_RX/EVENTOUT/I2C1_SDA,
43,PB3,gpio,,
44,PB4,gpio,,
45,PB7,gpio,,
46,PB8,gpio,,
47,NRST,reset,,
48,PB9,gpio,,
