PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,EXMC_A23/EVENTOUT,
2,PE3,gpio,EXMC_A19/TIMER15_BRKIN/EVENTOUT,
3,PE4,gpio,EXMC_A20/TIMER15_MCH0/EVENTOUT,
4,PE5,gpio,EXMC_A21/TIMER15_CH0/EVENTOUT,
5,PE6,gpio,EXMC_A22/TIMER15_CH1/EVENTOUT,
6,VBAT,power,,
7,PC13,gpio,EVENTOUT/TAMPER-RTC,
8,PC14-OSC32IN,gpio,,
9,PC15-OSC32OUT,gpio,,
10,VSS,ground,,
11,VDD,power,,
12,OSCIN-PD0,gpio,,
13,OSCOUT-PD1,gpio,,
14,NRST,reset,,
15,PC0,gpio,TIMER7_CH0_ON/EXMC_NL/EXMC_NADV/EVENTOUT/ADC012_IN10,
16,PC1,gpio,TIMER7_CH1_ON/EVENTOUT/ADC012_IN11,
17,PC2,gpio,TIMER7_CH2_ON/EXMC_NWE,
18,PC3,gpio,ADC012_IN12/TIMER7_CH3_ON/EVENTOUT/ADC012_IN13,
19,VSSA,ground,,
20,VREFN,power,,
21,VREFP,power,,
22,VDDA,power,,
23,PA0,gpio,USART1_CTS/TIMER1_CH0/TIMER1_ETI/TIMER16_BRKIN/TIMER4_CH0/TIMER7_ETI/CMP0_OUT/TRGSEL_IN5/EVENTOUT/ADC012_IN0/WKUP,
24,PA1,gpio,USART1_RTS/TIMER1_CH1/TIMER16_MCH0/TIMER4_CH1/CMP0_OUT/TRGSEL_IN6/EVENTOUT/ADC012_IN1,
25,PA2,gpio,USART1_TX/TIMER1_CH2/TIMER16_CH0/TIMER4_CH2/SPI0_IO2/TRGSEL_OUT0/EXMC_D4/EVENTOUT/ADC012_IN2/CMP0_IM2,
26,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER16_CH1/TIMER4_CH3/TIMER0_CH3_ON/SPI0_IO3/TRGSEL_OUT1/EXMC_D5/EVENTOUT/ADC012_IN3,
27,VSS,ground,,
28,VDD,power,,
29,PA4,gpio,SPI0_NSS/USART1_CK/SPI2_NSS/I2S2_WS/TIMER15_BRKIN/TIMER7_CH1BRKIN/EXMC_D6/EVENTOUT/ADC01_IN4/DAC0_OUT0/CMP0_IM0,
30,PA5,gpio,SPI0_SCK/TIMER4_ETI/TIMER15_MCH0/TIMER7_CH0BRKIN/EXMC_D7/EVENTOUT/ADC01_IN5/DAC0_OUT0/CMP0_IM1,
31,PA6,gpio,SPI0_MISO/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/TIMER7_BRKIN/CMP0_OUT/TRGSEL_OUT2/EVENTOUT,
32,PA7,gpio,ADC01_IN6/SPI0_MOSI/TIMER2_CH1/TIMER0_CH0_ON/TIMER15_CH1/TIMER7_CH0_ON/TRGSEL_OUT3/EVENTOUT/ADC01_IN7/CMP0_IP,
33,PC4,gpio,TIMER7_CH3/EXMC_NE0/EVENTOUT/ADC01_IN14,
34,PC5,gpio,EXMC_NOE/EVENTOUT/ADC01_IN15,
35,PB0,gpio,TIMER0_CH1_ON/TIMER2_CH2/TIMER7_CH1_ON/CMP0_OUT/EVENTOUT/ADC01_IN8,
36,PB1,gpio,TIMER0_CH2_ON/TIMER2_CH3/TIMER7_CH2_ON/CMP0_OUT/EVENTOUT/ADC01_IN9,
37,PB2/BOOT1,gpio,,
38,PE7,gpio,TIMER0_ETI/EXMC_D4/EVENTOUT/ADC2_IN4,
39,PE8,gpio,TIMER0_CH0_ON/EXMC_D5/EVENTOUT/ADC2_IN5,
40,PE9,gpio,TIMER0_CH0/EXMC_D6/EVENTOUT/ADC2_IN6,
41,PE10,gpio,TIMER0_CH1_ON/EXMC_D7/EVENTOUT/ADC2_IN7,
42,PE11,gpio,TIMER0_CH1/EXMC_D8/TRGSEL_IN4/EVENTOUT/ADC2_IN8,
43,PE12,gpio,TIMER0_CH2_ON/EXMC_D9/EVENTOUT/ADC2_IN9,
44,PE13,gpio,TIMER0_CH2/EXMC_D10/EVENTOUT,
45,PE14,gpio,TIMER0_CH3/EXMC_D11,
46,PE15,gpio,TIMER0_BRKIN/EXMC_D12/EVENTOUT/ADC2_IN14,
47,PB10,gpio,TIMER1_CH2/USART2_TX/I2C1_SCL/TIMER0_CH0BRKIN/EVENTOUT/ADC2_IN15/ADC1_IN16,
48,PB11,gpio,TIMER1_CH3/USART2_RX/I2C1_SDA/TIMER0_CH1BRKIN/TRGSEL_IN1/EVENTOUT/ADC2_IN16/ADC1_IN17,
49,VSS,ground,,
50,VDD,power,,
51,PB12,gpio,USART2_CK/SPI1_NSS/I2S1_WS/I2C1_SMBA/CAN1_RX/TIMER0_BRKIN/TIMER16_CH0/EXMC_D13/EVENTOUT,
52,PB13,gpio,USART2_CTS/SPI1_SCK/I2S1_CK/TIMER0_CH0_ON/CAN1_TX/TIMER16_CH1/EVENTOUT,
53,PB14,gpio,USART2_RTS/SPI1_MISO/TIMER0_CH1_ON/TIMER15_CH0/EXMC_D0/EVENTOUT,
54,PB15,gpio,SPI1_MOSI/I2S1_SD/TIMER0_CH2_ON/TIMER15_CH1/EVENTOUT,
55,PD8,gpio,USART2_TX/EXMC_D13/TIMER0_CH0BRKIN/EVENTOUT,
56,PD9,gpio,USART2_RX/EXMC_D14/TIMER0_CH1BRKIN/EVENTOUT,
57,PD10,gpio,USART2_CK/EXMC_D15/TIMER0_CH2BRKIN/EVENTOUT,
58,PD11,gpio,USART2_CTS/EXMC_A16/TRGSEL_IN3/EVENTOUT,
59,PD12,gpio,USART2_RTS/TIMER3_CH0/EXMC_A17/EVENTOUT,
60,PD13,gpio,,
61,PD14,gpio,TIMER3_CH1/EXMC_A18/EVENTOUT/TIMER3_CH2/EXMC_D0,
