BallName,PinName,PinType,Alternate,Remap
A1,VDD,power,,
A2,PB9,gpio,I2C0_SDA/CAN0_TX/TIMER3_CH3/TIMER16_CH0/EVENTOUT,
A3,PB7,gpio,USART0_RX/I2C0_SDA/TIMER3_CH1/EXMC_NL/EXMC_NADV/TIMER7_CH2BRKIN/SPI0_IO3/TRGSEL_OUT7/TIMER0_CH2BRKIN/EVENTOUT,
A4,PB6,gpio,USART0_TX/I2C0_SCL/TIMER3_CH0/CAN1_TX/TIMER7_CH1BRKIN/SPI0_IO2/TIMER0_CH1BRKIN/EVENTOUT,
A5,PB3,gpio,,
A6,PC12,gpio,USART2_CK/UART4_TX/SPI2_MOSI/I2S2_SD/TIMER16_CH0/EXMC_D3/EVENTOUT,
A7,PA15,gpio,,
A8,VDD,power,,
B1,PC13,gpio,EVENTOUT/TAMPER-RTC,
B2,VSS,ground,,
B3,BOOT0,boot,,
B4,PB5,gpio,TIMER2_CH0/SPI0_MISO/SPI2_MISO/TIMER7_CH2/TRGSEL_OUT6/EVENTOUT/TIMER2_CH1/SPI0_MOSI/I2C0_SMBA/CAN1_RX/TIMER7_CH0BRKIN/SPI2_MOSI/I2S2_SD/TIMER0_CH0BRKIN,
B5,PD2,gpio,TIMER2_ETI/UART4_RX/TIMER16_MCH0/EXMC_NWE/EVENTOUT,
B6,PC11,gpio,USART2_RX/UART3_RX/SPI2_MISO/TIMER7_CH2BRKIN/TIMER16_CH1/TRGSEL_IN2/EXMC_D2/EVENTOUT,
B7,VSS,ground,,
B8,PA12,gpio,USART0_RTS/CAN0_TX/TIMER0_ETI/TIMER7_CH1/TIMER15_MCH0/EVENTOUT/USBFS_DP,
C1,PC14-OSC32IN,gpio,,
C2,VBAT,power,,
C3,PC1,gpio,TIMER7_CH1_ON/EVENTOUT/ADC012_IN11,
C4,PB4,gpio,,
C5,PC10,gpio,USART2_TX/UART3_TX/SPI2_SCK/I2S2_CK/TIMER7_CH0BRKIN/TIMER0_CH0BRKIN/EVENTOUT,
C6,PA14,gpio,,
C7,PA13,gpio,,
C8,PA11,gpio,USART0_CTS/CAN0_RX/TIMER0_CH3/TIMER7_CH0/TIMER15_CH0/TRGSEL_IN0/EVENTOUT/USBFS_DM,
D1,PC15-OSC32OUT,gpio,,
D2,NRST,reset,,
D3,PC2,gpio,TIMER7_CH2_ON/EXMC_NWE/EVENTOUT/ADC012_IN12,
D4,PA4,gpio,SPI0_NSS/USART1_CK/SPI2_NSS/I2S2_WS/TIMER15_BRKIN/TIMER7_CH1BRKIN/EXMC_D6/EVENTOUT/ADC01_IN4/DAC0_OUT0/CMP0_IM0,
D5,PC4,gpio,TIMER7_CH3/EXMC_NE0/EVENTOUT/ADC01_IN14,
D6,PA10,gpio,USART0_RX/TIMER0_CH2/TIMER0_CH3_ON/TIMER15_BRKIN/TIMER15_CH1/TIMER7_CH2BRKIN/EVENTOUT,
D7,PA9,gpio,USART0_TX/TIMER0_CH1/TIMER7_CH1BRKIN/TRGSEL_OUT5/EVENTOUT,
D8,PC9,gpio,TIMER2_CH3/TIMER7_CH3/EXMC_NL/EXMC_NADV/EVENTOUT,
