BallName,PinName,PinType,Alternate,Remap
E1,OSCIN-PD0,gpio,,
E2,PC0,gpio,TIMER7_CH0_ON/EXMC_NL/EXMC_NADV/EVENTOUT/ADC012_IN10,
E3,PA1,gpio,,
E4,PA5,gpio,SPI0_SCK/TIMER4_ETI/TIMER15_MCH0/TIMER7_CH0BRKIN/EXMC_D7/EVENTOUT/ADC01_IN5/DAC0_OUT0/CMP0_IM1,
E5,PB0,gpio,TIMER0_CH1_ON/TIMER2_CH2/TIMER7_CH1_ON/CMP0_OUT/EVENTOUT/ADC01_IN8,
E6,PA8,gpio,USART0_CK/TIMER0_CH0/USBFS_SOF/CK_OUT/TIMER7_CH0BRKIN/CTC_SYNC,
E7,PC7,gpio,TIMER2_CH1/I2S2_MCK/TIMER7_CH3_ON/TIMER7_CH1/EVENTOUT,
E8,PC6,gpio,TIMER2_CH0/I2S1_MCK/TIMER7_CH0/EXMC_D1/EVENTOUT,
F1,OSCOUT-,gpio,,
F2,VSSA/VREFN,ground,,
F3,PA2,gpio,USART1_RTS/TIMER1_CH1/TIMER16_MCH0/TIMER4_CH1/CMP0_OUT/TRGSEL_IN6/EVENTOUT/ADC012_IN1/USART1_TX/TIMER1_CH2/TIMER16_CH0/TIMER4_CH2/SPI0_IO2/TRGSEL_OUT0/EXMC_D4/ADC012_IN2/CMP0_IM2,
F4,PC5,gpio,EXMC_NOE/EVENTOUT/ADC01_IN15,
F5,PB1,gpio,TIMER0_CH2_ON/TIMER2_CH3/TIMER7_CH2_ON/CMP0_OUT/EVENTOUT/ADC01_IN9,
F6,PC8,gpio,TIMER2_CH2/TIMER7_CH2/EVENTOUT,
F7,PB15,gpio,SPI1_MOSI/I2S1_SD/TIMER0_CH2_ON/TIMER15_CH1/EVENTOUT,
F8,PB14,gpio,USART2_RTS/SPI1_MISO/TIMER0_CH1_ON/TIMER15_CH0/EXMC_D0/EVENTOUT,
G1,VDDA/VREFP,power,,
G2,VSS,ground,,
G3,PA6,gpio,SPI0_MISO/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/TIMER7_BRKIN/CMP0_OUT/TRGSEL_OUT2/EVENTOUT/ADC01_IN6,
G4,PC3,gpio,TIMER7_CH3_ON/EVENTOUT/ADC012_IN13,
G5,PB8,gpio,TIMER3_CH2/I2C0_SCL/CAN0_RX/TIMER15_CH0/EVENTOUT,
G6,PB13,gpio,USART2_CTS/SPI1_SCK/I2S1_CK/TIMER0_CH0_ON/CAN1_TX/TIMER16_CH1/EVENTOUT,
G7,VSS,ground,,
G8,PB12,gpio,USART2_CK/SPI1_NSS/I2S1_WS/I2C1_SMBA/CAN1_RX/TIMER0_BRKIN/TIMER16_CH0/EXMC_D13/EVENTOUT,
H1,VDD,power,,
H2,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER16_CH1/TIMER4_CH3/TIMER0_CH3_ON/SPI0_IO3/TRGSEL_OUT1/EXMC_D5/EVENTOUT/ADC012_IN3,
H3,PA7,gpio,SPI0_MOSI/TIMER2_CH1/TIMER0_CH0_ON/TIMER15_CH1/TIMER7_CH0_ON/TRGSEL_OUT3/EVENTOUT/ADC01_IN7/CMP0_IP,
H4,PB2/BOOT1,gpio,,
H5,PA0,gpio,USART1_CTS/TIMER1_CH0/TIMER1_ETI/TIMER16_BRKIN/TIMER4_CH0/TIMER7_ETI/CMP0_OUT/TRGSEL_IN5/EVENTOUT/ADC012_IN0/WKUP,
H6,PB10,gpio,TIMER1_CH2/USART2_TX/I2C1_SCL/TIMER0_CH0BRKIN/EVENTOUT/ADC2_IN15/ADC1_IN16,
H7,PB11,gpio,TIMER1_CH3/USART2_RX/I2C1_SDA/TIMER0_CH1BRKIN/TRGSEL_IN1/EVENTOUT/ADC2_IN16/ADC1_IN17,
H8,VDD,power,,
