BallName,PinName,PinType,Alternate,Remap
A1,PE3,gpio,TRACED0/EXMC_A19,
A2,PE1,gpio,EXMC_NBL1,
A3,PB8,gpio,TIMER3_CH2/SDIO_D4/TIMER9_CH0,I2C0_SCL/CAN0_RX
A4,BOOT0,boot,,
A5,PD7,gpio,EXMC_NE0/EXMC_NCE1,USART1_CK
A6,PD5,gpio,EXMC_NWE,USART1_RTS/USART1_TX
A7,PB4,gpio,,
A8,PB3,gpio,,
A9,PA15,gpio,,
A10,PA14,gpio,,PA14
A11,PA13,gpio,,PA13
A12,PA12,gpio,USART0_RTS/CAN0_TX/TIMER0_ETI/USBFS_DP,
B1,PE4,gpio,TRACED1/EXMC_A20,
B2,PE2,gpio,TRACECK/EXMC_A23,
B3,PB9,gpio,TIMER3_CH3/SDIO_D5/TIMER10_CH0,I2C0_SDA/CAN0_TX
B4,PB7,gpio,I2C0_SDA/TIMER3_CH1/EXMC_NADV,USART0_RX/SPI0_IO3
B5,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX/SPI0_IO2/CAN1_TX
B6,PD6,gpio,EXMC_NWAIT,USART1_RX
B7,PD4,gpio,EXMC_NOE,
B8,PD3,gpio,EXMC_CLK,USART1_CTS
B9,PD1,gpio,EXMC_D3,CAN0_TX/OSCOUT
B10,PC12,gpio,UART4_TX/SDIO_CK,USART2_CK/SPI2_MOSI/I2S2_SD
B11,PC10,gpio,UART3_TX/SDIO_D2,USART2_TX/SPI2_SCK/I2S2_CK
B12,PA11,gpio,USART0_CTS/CAN0_RX/USBFS_DM/TIMER0_CH3,
C1,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
C2,PE5,gpio,TRACED2/EXMC_A21,TIMER8_CH0
C3,PE0,gpio,TIMER3_ETI/EXMC_NBL0,
C4,VDD_3,power,,
C5,PB5,gpio,I2C0_SMBA/SPI2_MOSI/I2S2_SD,TIMER2_CH1/SPI0_MOSI/CAN1_RX
C8,PD2,gpio,TIMER2_ETI/SDIO_CMD/UART4_RX,
C9,PD0,gpio,EXMC_D2,CAN0_RX/OSCIN
C10,PC11,gpio,UART3_RX/SDIO_D3,USART2_RX/SPI2_MISO
C11,NC,nc,,
C12,PA10,gpio,USART0_RX/TIMER0_CH2/USBFS_ID,
D1,PC14-OSC32IN,gpio,OSC32IN,
D2,PE6,gpio,TRACED3/EXMC_A22,TIMER8_CH1
D3,VSS_3,ground,,
D10,PA9,gpio,USART0_TX/TIMER0_CH1/USBFS_VBUS,
D11,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT0,
D12,PC9,gpio,TIMER7_CH3/SDIO_D1,TIMER2_CH3
E1,PC15-OSC32OUT,gpio,OSC32OUT,
E2,VBAT,power,,
E3,VSS_4,ground,,
E10,PC8,gpio,TIMER7_CH2/SDIO_D0,TIMER2_CH2
E11,PC7,gpio,I2S2_MCK/TIMER7_CH1/SDIO_D7,TIMER2_CH1
E12,PC6,gpio,I2S1_MCK/TIMER7_CH0/SDIO_D6,TIMER2_CH0
F1,OSCIN,clock,,PD0
F2,VSS_5,ground,,
F11,VSS_2,ground,,
F12,VSS_1,ground,,
G1,OSCOUT,clock,,PD1
G2,VDD_5,power,,
G11,VDD_2,power,,
G12,VDD_1,power,,
H1,PC0,gpio,ADC012_IN10,
H2,NRST,reset,,
H3,VDD_4,power,,
H10,PD15,gpio,EXMC_D1,TIMER3_CH3/CTC_SYNC
H11,PD14,gpio,EXMC_D0,TIMER3_CH2
H12,PD13,gpio,EXMC_A18,TIMER3_CH1
J1,VSSA,ground,,
J2,PC1,gpio,ADC012_IN11,
J3,PC2,gpio,ADC012_IN12,
J10,PD12,gpio,EXMC_A17,TIMER3_CH0/USART2_RTS
J11,PD11,gpio,EXMC_A16,USART2_CTS
J12,PD10,gpio,EXMC_D15,USART2_CK
K1,VREF-,power,,
K2,PC3,gpio,ADC012_IN13,
K3,PA2,gpio,USART1_TX/ADC012_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/SPI0_IO2,
K4,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC_OUT1,
K5,PC4,gpio,ADC01_IN14,
K8,PD9,gpio,EXMC_D14,USART2_RX
K9,PB11,gpio,I2C1_SDA/USART2_RX,TIMER1_CH3
K10,PB15,gpio,SPI1_MISO/USART2_RTS/TIMER0_CH1_ON/TIMER11_CH0/SPI1_MOSI/TIMER0_CH2_ON/I2S1_SD/TIMER11_CH1,
K11,PB14,gpio,,
K12,PB13,gpio,SPI1_SCK/USART2_CTS/TIMER0_CH0_ON/I2S1_CK/CAN1_TX,
L1,VREF+,power,,
