PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/SAI0_CLK0/SPI3_SCK/SAI0_MCLK0/OSPIM_P0_IO2/EXMC_A23/EVENTOUT,
2,PE3,gpio,TRACED0/TIMER14_BRKIN0/SAI0_SD1/EXMC_A19/DCI_PIXCLK/EVENTOUT,
3,PE4,gpio,TRACED1/TIMER0_BRKIN1/SAI0_DAT1/HPDF_DATAIN3/TIMER14_MCH0/SPI3_NSS/SAI0_FS0/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
4,PE5,gpio,TRACED2/SAI0_CLK1/HPDF_CKIN3,
5,PE6,gpio,TRACED3/TIMER0_BRKIN2/SAI0_DAT0,
6,VBAT,power,,
7,PC13,gpio,EVENTOUT/RTC_TAMP0/RTC_TS/WKUP3/RTC_OUT,
8,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
9,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
10,VSS,ground,,
11,VDD,power,,
12,PH0-OSCIN,gpio,EVENTOUT/OSCIN,
13,PH1-OSCOUT,gpio,EVENTOUT/OSCOUT,
14,NRST,reset,,
15,PC0,gpio,EXMC_D12/HPDF_CKIN0/HPDF_DATAIN4/TIMER40_CH0/SAI1_FS1/EXMC_A25,
16,PC1,gpio,ADC012_IN10/TRACED0/SAI0_DAT0/HPDF_DATAIN0/HPDF_CKIN4/SPI1_MOSI/I2S1_SD/SAI0_SD0/TIMER40_MCH0/SDIO1_CK/OSPIM_P0_IO4/ETH0_MDC/MDIO_MDC/TRIGSEL_IN9/TLI_G5/EVENTOUT/ADC012_IN11/RTC_TAMP1/WKUP5,
17,PC2_C,gpio,ADC2_IN0,
18,PC3_C,gpio,ADC2_IN1,
19,VSSA,ground,,
20,VREFP,power,,
21,VDDA,power,,
22,PA0,gpio,TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI/TIMER14_BRKIN0/SPI5_NSS/I2S5_WS/OSPIM_P0_IO6/USART1_CTS/UART3_TX/SDIO1_CMD/ADC0_IN16/WKUP0,
23,PA1,gpio,TIMER1_CH1/TIMER4_CH1/TIMER14_MCH0/USART1_RTS/USART1_DE/UART3_RX/OSPIM_P0_IO3/SAI1_MCLK1/ETH0_RMII_REF_CLK/TRIGSEL_IN1/TLI_R2/EVENTOUT/ADC0_IN17,
24,PA2,gpio,TIMER1_CH2/TIMER4_CH2/TIMER14_CH0/OSPIM_P0_IO0/USART1_TX/SAI1_SCK1/ETH0_MDIO/MDIO/TRIGSEL_IN7/TLI_R1/EVENTOUT/ADC01_IN14/WKUP1,
25,PA3,gpio,TIMER1_CH3/TIMER4_CH3/TIMER14_CH1/I2S5_MCK/OSPIM_P0_IO2/USART1_RX/TLI_B2/USBHS0_ULPI_D0/OSPIM_P0_SCK/TRIGSEL_IN4/TLI_B5/EVENTOUT/ADC01_IN15,
26,VSS,ground,,
27,VDD,power,,
28,PA4,gpio,,
