PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/EXMC_A23,
2,PE3,gpio,TRACED0/EXMC_A19,
3,PE4,gpio,TRACED1/EXMC_A20,
4,PE5,gpio,TRACED2/EXMC_A21,
5,PE6,gpio,TRACED3/EXMC_A22,
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,PF0,gpio,EXMC_A0,
11,PF1,gpio,EXMC_A1,
12,PF2,gpio,EXMC_A2,
13,PF3,gpio,EXMC_A3,
14,PF4,gpio,EXMC_A4,
15,PF5,gpio,EXMC_A5,
16,VSS_5,ground,,
17,VDD_5,power,,
18,PF6,gpio,,
19,PF7,gpio,EXMC_NIORD/EXMC_NREG,
20,PF8,gpio,EXMC_NIOWR,
21,PF9,gpio,EXMC_CD,
22,PF10,gpio,EXMC_INTR,
23,OSCIN-PD0,clock,,PD0
24,OSCOUT-PD1,clock,,PD1
25,NRST,reset,,
26,PC0,gpio,ADC01_IN10,
27,PC1,gpio,ADC01_IN11/ETH_MII_MDC/ETH_RMII_MDC,
28,PC2,gpio,ADC01_IN12/ETH_MII_TXD2,
29,PC3,gpio,ADC01_IN13/ETH_MII_TX_CLK,
30,VSSA,ground,,
31,VREFN,power,,
32,VREFP,power,,
33,VDDA,power,,
34,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC01_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/ETH_MII_CRS,
35,PA1,gpio,USART1_RTS/ADC01_IN1/TIMER1_CH1/TIMER4_CH1/ETH_MII_RX_CLK/ETH_RMII_REF_CLK,
36,PA2,gpio,USART1_TX/ADC01_IN2/TIMER1_CH2/TIMER4_CH2/ETH_MII_MDIO/ETH_RMII_MDIO,
37,PA3,gpio,USART1_RX/ADC01_IN3/TIMER1_CH3/TIMER4_CH3/ETH_MII_COL,
38,VSS_4,ground,,
39,VDD_4,power,,
40,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4/DAC0_OUT0,SPI2_NSS/I2S2_WS
41,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC0_OUT1,
42,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0,TIMER0_BKIN
43,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/ETH_MII_RX_DV/ETH_RMII_CRS_DV,TIMER0_CH0_ON
44,PC4,gpio,ADC01_IN14/ETH_MII_RXD0/ETH_RMII_RXD0,
45,PC5,gpio,ADC01_IN15/ETH_MII_RXD1/ETH_RMII_RXD1,
46,PB0,gpio,ADC01_IN8/TIMER2_CH2/ETH_MII_RXD2,TIMER0_CH1_ON
47,PB1,gpio,ADC01_IN9/TIMER2_CH3/ETH_MII_RXD3,TIMER0_CH2_ON
