PadNumber,PinName,PinType,Alternate,Remap
1,VDD,power,,
2,PC13-TAMPER-RTC,gpio,RTC_TAMP0/RTC_TS/RTC_OUT/WKUP1,
3,PC14-OSC32IN,gpio,OSC32IN,
4,PC15-OSC32OUT,gpio,OSC32OUT,
5,PF0/OSCIN,gpio,I2C0_SDA/OSCIN,
6,PF1/OSCOUT,gpio,I2C0_SCL/OSCOUT,
7,NRST,reset,,
8,VSSA,ground,,
9,VDDA,power,,
10,PA0-WKUP,gpio,USART1_CTS/CMP_OUT/I2C1_SCL/ADC_IN0/CMP_IM6/RTC_TAMP1/WKUP0,
11,PA1,gpio,USART1_RTS/USART1_DE/I2C1_SDA/EVENTOUT/TIMER14_CH0_ON/ADC_IN1/CMP_IP,
12,PA2,gpio,USART1_TX/TIMER14_CH0/ADC_IN2/CMP_IM7,
13,PA3,gpio,USART1_RX/TIMER14_CH1/ADC_IN3,
14,PA4,gpio,SPI0_NSS/I2S0_WS/USART1_CK/TIMER13_CH0/SPI1_NSS/ADC_IN4/CMP_IM4,
15,PA5,gpio,SPI0_SCK/I2S0_CK/ADC_IN5/CMP_IM5,
16,PA6,gpio,,
17,PA7,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/EVENTOUT/CMP_OUT/ADC_IN6/SPI0_MOSI/I2S0_SD/TIMER2_CH1/TIMER13_CH0/TIMER0_CH0_ON/TIMER16_CH0/ADC_IN7,
18,PB0,gpio,TIMER2_CH2/TIMER0_CH1_ON/USART1_RX/EVENTOUT/ADC_IN8,
19,PB1,gpio,TIMER2_CH3/TIMER13_CH0/TIMER0_CH2_ON/SPI1_SCK/ADC_IN9,
20,PB2,gpio,TIMER2_ETI,
21,PB10,gpio,I2C1_SCL/SPI1_IO2/SPI1_SCK,
22,PB11,gpio,I2C1_SDA/EVENTOUT/SPI1_IO3,
23,VSS,ground,,
24,VDD,power,,
25,PB12,gpio,SPI1_NSS/TIMER0_BRKIN/I2C1_SMBA/EVENTOUT,
26,PB13,gpio,SPI1_SCK/TIMER0_CH0_ON/I2C1_TXFRAME/I2C1_SCL,
27,PB14,gpio,SPI1_MISO/TIMER0_CH1_ON/TIMER14_CH0/I2C1_SDA,
28,PB15,gpio,SPI1_MOSI/TIMER0_CH2_ON/TIMER14_CH0_ON/TIMER14_CH1/RTC_REFIN/WKUP6,
29,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT/USART1_TX/EVENTOUT,
30,PA9,gpio,USART0_TX/TIMER0_CH1/TIMER14_BRKIN/I2C0_SCL/CK_OUT,
31,PA10,gpio,,
32,PA11,gpio,USART0_RX/TIMER0_CH2/TIMER16_BRKIN/I2C0_SDA/USART0_CTS/TIMER0_CH3/CMP_OUT/EVENTOUT/SPI1_IO2/I2C0_SMBA/I2C1_SCL,
33,PA12,gpio,USART0_RTS/USART0_DE/TIMER0_ETI/EVENTOUT/SPI1_IO3/I2C0_TXFRAME/I2C1_SDA,
34,PA13,gpio,,
35,PF6,gpio,I2C1_SCL,
36,PF7,gpio,I2C1_SDA,
37,PA14,gpio,,
38,PA15,gpio,SPI0_NSS/I2S0_WS/USART1_RX/SPI1_NSS/EVENTOUT,
39,PB3,gpio,SPI0_SCK/I2S0_CK/EVENTOUT,
40,PB4,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/EVENTOUT/I2C0_TXFRAME/TIMER16_BRKIN,
41,PB5,gpio,SPI0_MOSI/I2S0_SD/I2C0_SMBA/TIMER15_BRKIN/TIMER2_CH1/WKUP5,
42,PB6,gpio,I2C0_SCL/USART0_TX/TIMER15_CH0_ON,
43,PB7,gpio,I2C0_SDA/USART0_RX/TIMER16_CH0_ON,
44,BOOT0,boot,,
45,PB8,gpio,I2C0_SCL/TIMER15_CH0,
46,PB9,gpio,I2C0_SDA/IFRP_OUT/TIMER16_CH0/EVENTOUT/I2S0_MCK/SPI1_NSS,
47,VSS,ground,,
48,VDD,power,,
