PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13,gpio,EVENTOUT/TAMPER-RTC,
3,PC14-OSC32IN,gpio,,
4,PC15-OSC32OUT,gpio,,
5,OSCIN-PD0,gpio,,
6,OSCOUT-PD1,gpio,,
7,NRST,reset,,
8,PC0,gpio,TIMER7_CH0_ON/EXMC_NL/EXMC_NADV/EVENTOUT/ADC012_IN10,
9,PC1,gpio,TIMER7_CH1_ON/EVENTOUT/ADC012_IN11,
10,PC2,gpio,TIMER7_CH2_ON/EXMC_NWE/EVENTOUT/ADC012_IN12,
11,PC3,gpio,TIMER7_CH3_ON/EVENTOUT/ADC012_IN13,
12,VSSA/VREFN,ground,,
13,VDDA/VREFP,power,,
14,PA0,gpio,USART1_CTS/TIMER1_CH0/TIMER1_ETI/TIMER16_BRKIN/TIMER4_CH0/TIMER7_ETI/CMP0_OUT/TRGSEL_IN5/EVENTOUT/ADC012_IN0/WKUP,
15,PA1,gpio,,
16,PA2,gpio,USART1_RTS/TIMER1_CH1/TIMER16_MCH0/TIMER4_CH1/CMP0_OUT/TRGSEL_IN6/EVENTOUT/ADC012_IN1/USART1_TX/TIMER1_CH2/TIMER16_CH0/TIMER4_CH2/SPI0_IO2/TRGSEL_OUT0/EXMC_D4/ADC012_IN2/CMP0_IM2,
17,PA3,gpio,USART1_RX/TIMER1_CH3/TIMER16_CH1/TIMER4_CH3/TIMER0_CH3_ON/SPI0_IO3/TRGSEL_OUT1/EXMC_D5/EVENTOUT/ADC012_IN3,
18,VSS,ground,,
19,VDD,power,,
20,PA4,gpio,SPI0_NSS/USART1_CK/SPI2_NSS/I2S2_WS/TIMER15_BRKIN/TIMER7_CH1BRKIN/EXMC_D6/EVENTOUT/ADC01_IN4/DAC0_OUT0/CMP0_IM0,
21,PA5,gpio,SPI0_SCK/TIMER4_ETI/TIMER15_MCH0/TIMER7_CH0BRKIN/EXMC_D7/EVENTOUT/ADC01_IN5/DAC0_OUT0/CMP0_IM1,
22,PA6,gpio,SPI0_MISO/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/TIMER7_BRKIN/CMP0_OUT/TRGSEL_OUT2/EVENTOUT/ADC01_IN6,
23,PA7,gpio,SPI0_MOSI/TIMER2_CH1/TIMER0_CH0_ON/TIMER15_CH1/TIMER7_CH0_ON/TRGSEL_OUT3/EVENTOUT/ADC01_IN7/CMP0_IP,
24,PC4,gpio,TIMER7_CH3/EXMC_NE0/EVENTOUT/ADC01_IN14,
25,PC5,gpio,EXMC_NOE/EVENTOUT/ADC01_IN15,
26,PB0,gpio,TIMER0_CH1_ON/TIMER2_CH2/TIMER7_CH1_ON/CMP0_OUT/EVENTOUT/ADC01_IN8,
