PadNumber,PinName,PinType,Alternate,Remap
41,PA5,gpio,TIMER1_CH0/TIMER1_ETI/TIMER7_MCH0/SPI0_SCK/I2S0_CK/SPI5_SCK/I2S5_CK/USBHS0_ULPI_CK/MDIO_A0/EXMC_D9/TLI_R4/EVENTOUT/ADC01_IN19/DAC0_OUT1,
42,PA6,gpio,TIMER0_BRKIN0/TIMER2_CH0/TIMER7_BRKIN0/SPI0_MISO/OSPIM_P0_IO3/SPI5_MISO/CMP_MUX_OUT0/MDIO_MDC/DCI_PIXCLK/TLI_G2/EVENTOUT/ADC01_IN3,
43,PA7,gpio,TIMER0_MCH0/TIMER2_CH1/TIMER7_MCH0/SPI0_MOSI/I2S0_SD/SPI5_MOSI/I2S5_SD/OSPIM_P0_IO2/ETH0_RMII_CRS_DV/EXMC_SDNWE/TRIGSEL_IN5/TLI_VSYNC/EVENTOUT/ADC01_IN7,
44,PC4,gpio,PMU_DEEPSLEEP/EXMC_A22/HPDF_CKIN2/I2S0_MCK/TIMER41_CH0/RSPDIF_CH2/SDIO1_CKIN/ETH0_RMII_RXD0/EXMC_SDNE0/TLI_R7/EVENTOUT/ADC01_IN4/CMP0_IM7,
45,PC5,gpio,PMU_SLEEP/SAI2_DAT2/SAI0_DAT2/HPDF_DATAIN2/TIMER41_MCH0/RSPDIF_CH3/ETH0_RMII_RXD1/EXMC_SDCKE0/CMP0_OUT/TLI_DE/EVENTOUT/ADC01_IN8,
46,PB0,gpio,TIMER0_MCH1/TIMER2_CH2/TIMER7_MCH1/OSPIM_P0_IO1/HPDF_CKOUT/UART3_CTS/TLI_R3/USBHS0_ULPI_D1/MDIO_A1/TRIGSEL_OUT3/TLI_G1/EVENTOUT/ADC01_IN9/CMP0_IP0,
47,PB1,gpio,TIMER0_MCH2/TIMER2_CH3/TIMER7_MCH2/OSPIM_P0_IO0/HPDF_DATAIN1/TLI_R6/USBHS0_ULPI_D2/MDIO_A2/TRIGSEL_OUT4/TLI_G0/EVENTOUT/ADC01_IN5/CMP0_IM6,
48,PB2,gpio,RTC_OUT/SAI2_DAT0/SAI0_DAT0/EXMC_D10/HPDF_CKIN1/SAI0_SD0/SPI2_MOSI/I2S2_SD/SAI2_SD0/OSPIM_P0_SCK/EXMC_NCE/MDIO_A3/TIMER22_ETI/EVENTOUT/CMP0_IP1,
49,PF11,gpio,SPI4_MOSI/SAI1_SD1/EXMC_SDNRAS/DCI_D12/TIMER23_CH0/EVENTOUT/ADC0_IN2,
50,PF12,gpio,EXMC_A6/TIMER23_CH1/EVENTOUT/ADC0_IN6,
51,VSS,ground,,
52,VDD,power,,
53,PF13,gpio,HPDF_DATAIN6/I2C3_SMBA/EXMC_A7/TIMER23_CH2/EVENTOUT/ADC1_IN2,
54,PF14,gpio,HPDF_CKIN6/I2C3_SCL/SPI4_IO2/EXMC_A8/TIMER23_CH3/EVENTOUT/ADC1_IN6,
55,PF15,gpio,I2C3_SDA/SPI4_IO3/EXMC_A9/EVENTOUT,
56,PG0,gpio,TIMER31_CH0/OSPIM_P1_IO4/EXMC_A10/EVENTOUT,
57,PG1,gpio,TIMER31_CH1/OSPIM_P1_IO5/EXMC_A11/EVENTOUT,
58,PE7,gpio,,
59,PE8,gpio,TIMER0_ETI/HPDF_DATAIN2/UART6_RX/OSPIM_P0_IO4/EXMC_D4/EVENTOUT/CMP1_IM7/TIMER0_MCH0/HPDF_CKIN2/UART6_TX/OSPIM_P0_IO5/EXMC_D5/CMP1_OUT,
60,PE9,gpio,TIMER0_CH0/HPDF_CKOUT/SPI3_IO2/UART6_RTS/UART6_DE/OSPIM_P0_IO6/EXMC_D6/EVENTOUT/CMP1_IP0,
61,VSS,ground,,
62,VDD,power,,
63,PE10,gpio,TIMER0_MCH1/HPDF_DATAIN4/SPI3_IO3/UART6_CTS/OSPIM_P0_IO7/EXMC_D7/EVENTOUT/CMP1_IM6,
64,PE11,gpio,TIMER0_CH1/HPDF_CKIN4/SPI3_NSS/SAI1_SD1/OSPIM_P0_CSN/EXMC_D8/TLI_G3/EVENTOUT/CMP1_IP1,
65,PE12,gpio,TIMER0_MCH2/HPDF_DATAIN5/SPI3_SCK/SAI1_SCK1/EXMC_D9/CMP0_OUT/TLI_B4/EVENTOUT,
66,PE13,gpio,TIMER0_CH2/HPDF_CKIN5/SPI3_MISO/SAI1_FS1/EXMC_D10/CMP1_OUT/TLI_DE/EVENTOUT,
