PadNumber,PinName,PinType,Alternate,Remap
1,PE4,gpio,TIMER0_MCH1/TIMER19_MCH0/SPI1_MISO/MFCOM_D1/TRIGSEL_OUT2/EVENTOUT,
2,PE5,gpio,TIMER0_CH1/TIMER19_CH0/SPI1_SCK/I2S1_CK/MFCOM_D0/TRIGSEL_OUT1/EVENTOUT,
3,PE6,gpio,TIMER1_CH0/TIMER1_ETI/TIMER19_MCH2/I2S1_MCK/MFCOM_D5/TRIGSEL_OUT5/EVENTOUT,
4,PC13-OSC32IN,gpio,CK_OUT/TIMER19_CH2/MFCOM_D4/TRIGSEL_OUT4/EVENTOUT/WKUP1/OSC32IN,
5,PC15,gpio,TIMER_ETI2/TIMER19_MCH1/TIMER19_CH1/CAN0_TX/MFCOM_D7/EVENTOUT,
6,PF0-BOOT0,gpio,TIMER19_CH1/CAN0_RX/MFCOM_D6/EVENTOUT/BOOT0,
7,VDD,power,,
8,VDDA,power,,
9,VREFP,power,,
10,VSS,ground,,
11,PF6-OSCOUT,gpio,I2C0_SCL/EVENTOUT/OSCOUT,
12,PF7-OSCIN,gpio,I2C0_SDA/EVENTOUT/OSCIN,
13,PF2,gpio,TIMER0_BRKIN0/TIMER19_BRKIN0/USART2_RTS/USART2_DE/TRIGSEL_IN6/CMP_OUT/EVENTOUT,
14,PF5,gpio,TIMER0_MCH0/SPI0_MISO/USART1_CTS/EVENTOUT,
15,PC0,gpio,TIMER0_CH0/SPI0_SCK/EVENTOUT,
16,PC1,gpio,,
17,PA0-WKUP,gpio,TIMER0_MCH3/USART2_CTS/EVENTOUT/TIMER0_CH3/CMP_IM_IP3/WKUP0,
18,PA1,gpio,CK_OUT/TIMER0_MCH2/SPI0_NSS/TRIGSEL_IN0/EVENTOUT,
19,PA2,gpio,TIMER0_CH2/SPI0_MOSI/TRIGSEL_IN1/EVENTOUT,
20,PA3,gpio,TIMER0_MCH1/USART0_TX/CAN0_TX/TIMER1_CH3/EVENTOUT/ADC0_IN11/CMP_IM_IP4,
21,PA4,gpio,TIMER0_CH1/USART0_RX/CAN0_RX/EVENTOUT/ADC0_IN10/CMP_IM_IP5,
22,PA5,gpio,TIMER19_BRKIN3/USART2_TX/EVENTOUT/CMP_IM_IP6,
23,PA6,gpio,TIMER19_BRKIN2/USART2_RX/EVENTOUT/CMP_IM_IP7,
24,PA7,gpio,TIMER19_MCH1/TIMER1_CH1/TIMER19_BRKIN1/TRIGSEL_IN7/EVENTOUT/USART2_CK/DAC0_OUT0,
25,PB1,gpio,TIMER0_MCH0/TIMER7_MCH3/EVENTOUT/ADC0_IN9,
26,PB2,gpio,TIMER0_CH0/TIMER7_CH3/EVENTOUT/ADC0_IN8,
27,PE9,gpio,TIMER7_BRKIN3/EVENTOUT/ADC0_IN15,
28,PE10,gpio,TIMER7_BRKIN2/EVENTOUT/I2C1_SCL/ADC0_IN14,
29,PE11,gpio,TIMER7_MCH1/TRIGSEL_IN8/EVENTOUT/I2C1_SDA,
30,PE12,gpio,ADC0_IN13/TIMER7_CH1/TRIGSEL_IN9/EVENTOUT/I2C1_SMBA/ADC0_IN12,
31,PE13,gpio,TIMER7_MCH0/TIMER7_CH0/SPI0_MISO/TRIGSEL_IN2/EVENTOUT/ADC0_IN7,
32,PE14,gpio,TIMER7_CH0/TIMER7_CH1/SPI0_SCK/TRIGSEL_IN3/EVENTOUT/ADC0_IN6,
33,PB13,gpio,TIMER_ETI0/SPI0_MOSI/USART0_TX/CAN0_TX/EVENTOUT/ADC0_IN5/ADC1_IN15,
34,PB14,gpio,TIMER1_CH2/SPI0_NSS/USART0_RX/CAN0_RX/EVENTOUT/ADC0_IN4/ADC1_IN14,
35,PB15,gpio,TIMER7_BRKIN1/USART1_TX/USART0_RTS/USART0_DE/EVENTOUT,
36,PD8,gpio,TIMER7_BRKIN0/USART1_RX/USART0_CTS/EVENTOUT,
37,PD9,gpio,TIMER0_BRKIN2/USART1_RTS/USART1_DE/EVENTOUT/ADC0_IN3,
38,PD10,gpio,TIMER0_BRKIN1/SPI1_NSS/I2S1_WS/USART1_CTS/EVENTOUT/ADC0_IN2,
39,PD11,gpio,TIMER0_MCH3/TIMER20_BRKIN0/EVENTOUT/I2C1_SMBA,
40,VSS_2,ground,,
41,VDD_2,power,,
42,PC7,gpio,TIMER0_MCH0/TIMER20_BRKIN1/I2S1_MCK/EVENTOUT,
43,PC8,gpio,ADC1_IN8/ADC0_IN8/TIMER0_CH0/TIMER20_BRKIN2/EVENTOUT/ADC1_IN7,
44,PC9,gpio,TIMER0_BRKIN3/TIMER20_BRKIN3/EVENTOUT/ADC1_IN6,
45,PA8,gpio,TIMER0_BRKIN0/TIMER20_MCH2/SPI1_NSS/I2S1_WS/MFCOM_D7/MFCOM_D5/TRIGSEL_IN4/EVENTOUT/ADC1_IN3/NMI,
46,PA9,gpio,TIMER20_CH2/SPI1_MOSI/I2S1_SD/MFCOM_D6/MFCOM_D4/TRIGSEL_IN5/EVENTOUT/ADC1_IN2,
47,PA10,gpio,TIMER20_MCH0/I2C0_SCL/USART0_TX/MFCOM_D5/EVENTOUT/ADC1_IN1,
48,PA11,gpio,TIMER20_CH0/I2C0_SDA/USART0_RX/MFCOM_D4/EVENTOUT/TRIGSEL_IN13/ADC1_IN0,
49,PC10,gpio,TIMER7_MCH0/TIMER7_CH0/I2C0_SDA/USART0_RTS/USART0_DE/MFCOM_D3/TRIGSEL_OUT0/EVENTOUT/ADC0_IN1/CMP_IM_IP1,
50,PC11,gpio,TIMER19_MCH0/TIMER19_CH0/I2C0_SCL/USART0_CTS/MFCOM_D2/TRIGSEL_OUT3/EVENTOUT/ADC0_IN0/CMP_IM_IP0,
51,PC12,gpio,TIMER20_MCH1/TIMER7_CH0/USART1_TX/CAN1_TX/EVENTOUT/ADC1_IN5,
52,PD0,gpio,TIMER20_CH1/TIMER7_CH1/USART1_RX/CAN1_RX/EVENTOUT/ADC1_IN4,
53,PD3,gpio,TIMER20_MCH3/SPI0_NSS/USART1_RTS/USART1_DE/EVENTOUT/ADC1_IN11,
54,PD4,gpio,TIMER20_CH3/TIMER1_CH2/SPI0_MOSI/USART1_CTS/EVENTOUT/ADC1_IN10,
55,PD6,gpio,TIMER7_MCH3/TIMER19_CH0/CAN1_TX/EVENTOUT/I2C1_SCL,
56,PD7,gpio,TIMER7_CH3/TIMER19_CH1/CAN1_RX/EVENTOUT/I2C1_SDA,
57,PB3,gpio,,
58,PB4,gpio,,
59,PB5,gpio,TIMER7_BRKIN1/I2C0_SMBA/SPI0_MISO/SPI1_NSS/I2S1_WS/EVENTOUT,
60,PB6,gpio,TIMER7_BRKIN2/TIMER_ETI1/SPI0_SCK/SPI1_MOSI/I2S1_SD/EVENTOUT,
61,PB7,gpio,,
62,PB8,gpio,,
63,NRST,reset,,
64,PB9,gpio,,
