PadNumber,PinName,PinType,Alternate,Remap
1,VDD,power,,
2,OSCIN,gpio,EVENTOUT/SPI1_NSS/I2S1_WS/PF0,
3,OSCOUT,gpio,EVENTOUT/SPI1_SCK/I2S1_CK/PF1,
4,NRST,reset,,
5,VDDA,power,,
6,PA0-WKUP,gpio,USART1_CTS/TIMER1_CH0/TIMER1_E/TI/CMP0_OUT/EVENTOUT/UART3_TX/WKUP0/ADC_IN0/RTC_TAMP1/CMP0,
7,PA1,gpio,USART1_RTS/USART1_DE/TIMER1_CH1/I2C0_SMBA/SPI0_SCK/EVENTOUT/UART3_R/X/ADC_IN1/CMP0_IP,
8,PA2,gpio,USART1_TX/TIMER8_CH0/TIMER1_CH2/SPI0_IO2/CMP1_OUT/LPUART_TX/EVENTOU/T/ADC_IN2/CMP1_IM4/RTC_TAMP2/WK/UP2,
9,PA3,gpio,USART1_RX/TIMER8_CH1/TIMER1_CH3/SPI0_IO3/LPUART_RX/EVENTOUT/ADC_IN3/CMP1_IP0,
10,PA4,gpio,SPI0_NSS/USART1_CK/SPI1_NSS/I2S/1_WS/LPTIMER_OUT/EVENTOUT/ADC_IN4/DAC 0_OUT0,
11,PA5,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI/LPTIMER_ETI0/EVENTOUT/ADC_IN5,
12,PA6,gpio,SPI0_MISO/TIMER2_CH0/LPTIMER_IN0/CMP0_OUT/LPUART_CTS/EVENTOUT/ADC_IN6,
13,PA7,gpio,,
14,PB0,gpio,SPI0_MOSI/TIMER2_CH1/LPTIMER_ETI0/CMP1_OUT/EVENTOUT/ADC_IN7/TIMER2_CH2/LPTIMER_OUT/SPI0_NS/S/CMP0_OUT/ADC_IN8,
15,PB1,gpio,TIMER2_CH3/LPUART_RTS/LPTIMER_I/N0/EVENTOUT/ADC_IN9,
16,BOOT1-PB2,boot,LPTIMER_OUT/EVENTOUT/RTC_OUT/PB2/WKUP3,
17,VDD,power,,
18,PA8,gpio,USART0_CK/CK_OUT/LPTIMER_OUT/EVENTOUT/CTC_SYNC,
19,PA9,gpio,CK_OUT/USART0_TX/I2C0_SCL/EVEN/TOUT/LPTIMER_IN1,
20,PA10,gpio,USART0_RX/I2C0_SDA/EVENTOUT,
21,PA11,gpio,CMP0_OUT/USART0_CTS/SPI0_MISO/EVENTOUT/USBDM,
22,PA12,gpio,CMP1_OUT/USART0_RTS/USART0_DE/SPI0_MOSI/EVENTOUT/USBDP,
23,PA13,gpio,,
24,PA14,gpio,,
25,PA15,gpio,SPI1_NSS/I2S1_WS/TIMER1_CH0/TIM/ER1_ETI/SPI0_NSS/USART1_RX/EVENTOUT,
26,PB3,gpio,,
27,PB4,gpio,SPI1_SCK/I2S1_CK/TIMER1_CH1/SPI0/CMP1_IM6/SPI1_MISO/TIMER2_CH0/SPI0_MISO/USART0_CTS/EVENTOUT/CMP1_IP1,
28,PB5,gpio,LPTIMER_IN0/I2C0_SMBA/SPI1_MOSI/I2S1_SD/TIMER2_CH1/SPI0_MOSI/USART0_CK/CMP1_OUT/EVENTOU T/CMP1_IP2,
29,PB6,gpio,LPTIMER_ETI0/I2C1_SCL/I2C0_SCL/U/SART0_TX/SPI0_IO2/EVENTOUT/CMP1_IP3,
30,PB7,gpio,I2C1_SDA/I2C0_SDA/USART0_RX/SPI/0_IO3/EVENTOUT/CMP1_IP4,
31,BOOT0-PD3,boot,USART1_CTS/SPI1_MISO/I2S1_MCK/PD3,
32,VSS,ground,,
