PadNumber,PinName,PinType,Alternate,Remap
1,PD6,gpio,USART1_RX/EVENTOUT/SPI0_MOSI/L/PTIMER_IN1/VSLCD,
2,VBAT,power,,
3,PC13-TAMPER-RTC,gpio,EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS/WK/UP1,
4,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
5,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
6,OSCIN,gpio,EVENTOUT/SPI1_NSS/I2S1_WS/PF0,
7,OSCOUT,gpio,EVENTOUT/SPI1_SCK/I2S1_CK/PF1,
8,NRST,reset,,
9,PC0,gpio,SEG18/I2C2_SCL/LPUART_RX/LPTIM/ER_IN0/EVENTOUT/ADC_IN10,
10,PC1,gpio,SEG19/I2C2_SDA/LPUART_TX/LPTIM/ER_OUT/EVENTOUT/ADC_IN11,
11,PC2,gpio,SPI1_MISO/I2S1_MCK/SEG20/EVENT/OUT/LPTIMER_IN1/ADC_IN12,
12,PC3,gpio,SPI1_MOSI/I2S1_SD/SEG21/LPTIMER/ADC_IN13,
13,VSS,ground,,
14,VREFP,power,,
15,VDD,power,,
16,PA0-WKUP,gpio,USART1_CTS/TIMER1_CH0/TIMER1_E/TI/CMP0_OUT/EVENTOUT/UART3_TX/WKUP0/ADC_IN0/RTC_TAMP1/CMP0,
17,PA1,gpio,USART1_RTS/USART1_DE/TIMER1_CH1/I2C0_SMBA/SPI0_SCK/SEG0/EVENTOUT/UA/RT3_RX/ADC_IN1/CMP0_IP,
18,PA2,gpio,USART1_TX/TIMER8_CH0/TIMER1_CH2/SPI0_IO2/CMP1_OUT/LPUART_TX/SEG1/EV/ENTOUT/ADC_IN2/CMP1_IM4/RTC_TAMP2/WK/UP2,
19,PA3,gpio,USART1_RX/TIMER8_CH1/TIMER1_CH3/SPI0_IO3/LPUART_RX/SEG2/EVENTOUT/ADC_IN3/CMP1_IP0,
20,PD8,gpio,LPTIMER_ETI0/LPUART_TX/EVENTOU/T/SEG30,
21,PD9,gpio,LPTIMER_IN0/LPUART_RX/EVENTOU/T/SEG31,
22,PA4,gpio,SPI0_NSS/USART1_CK/SPI1_NSS/I2S/1_WS/LPTIMER_OUT/EVENTOUT/ADC_IN4/DAC0_OUT0,
23,PA5,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI/LPTIMER_ETI0/EVENTOUT/ADC_IN5,
24,PA6,gpio,SPI0_MISO/TIMER2_CH0/LPTIMER_IN0/CMP0_OUT/LPUART_CTS/SEG3/EVENTOUT/ADC_IN6,
25,PA7,gpio,SPI0_MOSI/TIMER2_CH1/LPTIMER_ETI0/I2C2_SCL/CMP1_OUT/SEG4/EVENTOUT/ADC_IN7,
26,PC4,gpio,LPUART_TX/USART0_TX/TIMER1_CH,
27,PC5,gpio,ADC_IN14/LPUART_RX/USART0_RX/TIMER1_CH1/SEG23/EVENTOUT/ADC_IN15,
28,PB0,gpio,TIMER2_CH2/LPTIMER_OUT/SPI0_NS/S/CMP0_OUT/SEG5/EVENTOUT/ADC_IN8,
29,PB1,gpio,TIMER2_CH3/LPUART_RTS/LPTIMER_I/N0/SEG6/EVENTOUT/ADC_IN9,
30,BOOT1-PB2,boot,LPTIMER_OUT/EVENTOUT/RTC_OUT/PB2/WKUP3,
31,PB10,gpio,SPI1_SCK/I2S1_CK/LPUART_TX/I2C1_/SCL/LPUART_RX/TIMER1_CH2/CMP0_OUT/SE/G10/EVENTOUT,
32,PB11,gpio,LPUART_RX/I2C1_SDA/LPUART_TX/T/IMER1_CH3/CMP1_OUT/SEG11/EVENTOUT,
33,PB12,gpio,SPI1_NSS/I2S1_WS/I2C1_SMBA/LPUA/RT_RTS/SEG12/EVENTOUT,
34,PB13,gpio,CK_OUT/SPI1_SCK/I2S1_CK/LPUART,
35,PB14,gpio,SPI1_MISO/LPUART_RTS/I2C1_SDA/T/IMER11_CH0/SEG14/EVENTOUT/RTC_OUT,
36,PB15,gpio,SPI1_MOSI/I2S1_SD/TIMER11_CH1/SEG15/EVENTOUT/RTC_REFIN,
37,PC6,gpio,I2S1_MCK/TIMER2_CH0/SEG24/EVEN/TOUT/WKUP4,
38,PC7,gpio,TIMER2_CH1/SEG25/EVENTOUT,
39,PC8,gpio,TIMER2_CH2/I2C2_SDA/SEG26/EVEN/TOUT,
40,PC9,gpio,TIMER2_CH3/I2C2_SCL/SEG27/EVEN/TOUT,
41,PA8,gpio,USART0_CK/CK_OUT/LPTIMER_OUT/I/2C2_SMBA/COM0/EVENTOUT/CTC_SYNC,
42,PA9,gpio,CK_OUT/USART0_TX/I2C0_SCL/COM1/EVENTOUT/LPTIMER_IN1,
43,PA10,gpio,USART0_RX/I2C0_SDA/COM2/EVENTOUT,
44,PA11,gpio,CMP0_OUT/USART0_CTS/SPI0_MISO/EVENTOUT/USBDM,
45,PA12,gpio,CMP1_OUT/USART0_RTS/USART0_DE/SPI0_MOSI/EVENTOUT/USBDP,
46,PA13,gpio,,
47,PD0,gpio,SPI1_NSS/I2S1_WS/LPTIMER_OUT/U/SART1_CK/EVENTOUT/CTC_SYNC,
48,PD1,gpio,SPI1_SCK/I2S1_CK/SPI1_MISO/USAR/T1_CTS/EVENTOUT,
49,PA14,gpio,,
50,PA15,gpio,SPI1_NSS/I2S1_WS/TIMER1_CH0/TIM/ER1_ETI/SPI0_NSS/USART1_RX/SEG17/EVEN/TOUT,
51,PC10,gpio,UART3_TX/LPUART_TX/SPI1_SCK/I2S/1_CK/SEG28/COM4/EVENTOUT,
52,PC11,gpio,UART3_RX/LPUART_RX/SPI1_MISO/S/EG29/COM5/EVENTOUT,
53,PC12,gpio,,
54,PD2,gpio,UART4_TX/SPI1_MOSI/I2S1_SD/SE/G30/COM6/EVENTOUT/LPUART_RTS/TIMER2_ETI/UART4_RX,
55,PB3,gpio,UART4_TX/SPI1_SCK/I2S1_CK/TIME/R1_CH1/SPI0_SCK/USART0_RTS/USART0_DE/S/EG7/EVENTOUT/LPTIMER_IN1/CMP1_IM6,
56,PB4,gpio,UART4_RX/SPI1_MISO/TIMER2_CH0/SPI0_MISO/USART0_CTS/SEG8/EVENTOUT/CMP1_IP1,
57,PB5,gpio,LPTIMER_IN0/I2C0_SMBA/SPI1_MOSI/I2S1_SD/TIMER2_CH1/SPI0_MOSI/USART0_CK/CMP1_OUT/SEG9/EVENTOU T/CMP1_IP2,
58,PB6,gpio,LPTIMER_ETI0/I2C1_SCL/I2C0_SCL/U/SART0_TX/SPI0_IO2/EVENTOUT/CMP1_IP3,
