PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,EXMC_A23,
2,PE3,gpio,EXMC_A19,
3,PE4,gpio,EXMC_A20,
4,PE5,gpio,EXMC_A21,TIMER8_CH0
5,PE6,gpio,EXMC_A22,TIMER8_CH1
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,PF0,gpio,EXMC_A0,CTC_SYNC
11,PF1,gpio,EXMC_A1,
12,PF2,gpio,EXMC_A2,
13,PF3,gpio,EXMC_A3,
14,PF4,gpio,EXMC_A4,
15,PF5,gpio,EXMC_A5,
16,VSS_5,ground,,
17,VDD_5,power,,
18,PF6,gpio,EXMC_NIORD,TIMER9_CH0
19,PF7,gpio,EXMC_NREG,TIMER10_CH0
20,PF8,gpio,EXMC_NIOWR,TIMER12_CH0
21,PF9,gpio,EXMC_CD,TIMER13_CH0
22,PF10,gpio,EXMC_INTR,
23,OSCIN,clock,,PD0
24,OSCOUT,clock,,PD1
25,NRST,reset,,
26,PC0,gpio,ADC01_IN10,
27,PC1,gpio,ADC01_IN11/ENET_MDC,
28,PC2,gpio,ADC01_IN12/ENET_MII_TXD2,
29,PC3,gpio,ADC01_IN13/ENET_MII_TX_CLK,
30,VSSA,ground,,
31,VREF-,power,,
32,VREF+,power,,
33,VDDA,power,,
34,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC01_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI/ENET_MII_CRS,
35,PA1,gpio,USART1_RTS/ADC01_IN1/TIMER1_CH1/TIMER4_CH1/ENET_MII_RX_CLK/ENET_RMII_REF_CLK,
36,PA2,gpio,USART1_TX/ADC01_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/ENET_MDIO,
37,PA3,gpio,USART1_RX/ADC01_IN3/TIMER1_CH3/TIMER4_CH3/TIMER8_CH1/ENET_MII_COL/SPI0_IO3,
38,VSS_4,ground,,
39,VDD_4,power,,
40,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4/DAC0_OUT0,SPI2_NSS/I2S2_WS
41,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC0_OUT1,
42,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER7_BRKIN/TIMER12_CH0,TIMER0_BRKIN
43,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER7_CH0_ON/TIMER13_CH0/ENET_MII_RX_DV/ENET_RMII_CRS_DV,TIMER0_CH0_ON
44,PC4,gpio,ADC01_IN14/ENET_MII_RXD0/ENET_RMII_RXD0,
45,PC5,gpio,ADC01_IN15/ENET_MII_RXD1/ENET_RMII_RXD1,
46,PB0,gpio,ADC01_IN8/TIMER2_CH2/TIMER7_CH1_ON/ENET_MII_RXD2,TIMER0_CH1_ON
47,PB1,gpio,ADC01_IN9/TIMER2_CH3/TIMER7_CH2_ON/ENET_MII_RXD3,TIMER0_CH2_ON
48,PB2,gpio,,
49,PF11,gpio,EXMC_NIOS16,
50,PF12,gpio,EXMC_A6,
51,VSS_6,ground,,
52,VDD_6,power,,
53,PF13,gpio,EXMC_A7,
54,PF14,gpio,EXMC_A8,
55,PF15,gpio,EXMC_A9,
56,PG0,gpio,EXMC_A10,
57,PG1,gpio,EXMC_A11,
58,PE7,gpio,EXMC_D4,TIMER0_ETI
59,PE8,gpio,EXMC_D5,TIMER0_CH0_ON
60,PE9,gpio,EXMC_D6,TIMER0_CH0
61,VSS_7,ground,,
62,VDD_7,power,,
63,PE10,gpio,EXMC_D7,TIMER0_CH1_ON
64,PE11,gpio,EXMC_D8,TIMER0_CH1
65,PE12,gpio,EXMC_D9,TIMER0_CH2_ON
66,PE13,gpio,EXMC_D10,TIMER0_CH2
67,PE14,gpio,EXMC_D11,TIMER0_CH3
68,PE15,gpio,EXMC_D12,TIMER0_BRKIN
69,PB10,gpio,I2C1_SCL/USART2_TX/ENET_MII_RX_ER,
70,PB11,gpio,I2C1_SDA/USART2_RX/ENET_MII_TX_EN/ENET_RMII_TX_EN,TIMER1_CH2/TIMER1_CH3
71,VSS_1,ground,,
72,VDD_1,power,,
73,PB12,gpio,SPI1_NSS/I2C1_SMBA/USART2_CK/TIMER0_BRKIN/I2S1_WS/CAN1_RX/ENET_MII_TXD0/ENET_RMII_TXD0,
74,PB13,gpio,SPI1_SCK/USART2_CTS/TIMER0_CH0_ON/I2S1_CK/CAN1_TX/ENET_MII_TXD1/ENET_RMII_TXD1,
75,PB14,gpio,SPI1_MISO/USART2_RTS/TIMER0_CH1_ON/TIMER11_CH0,
76,PB15,gpio,SPI1_MOSI/TIMER0_CH2_ON/I2S1_SD/TIMER11_CH1,
77,PD8,gpio,EXMC_D13,USART2_TX/ENET_MII_RX_DV/ENET_RMII_CRS_DV
78,PD9,gpio,EXMC_D14,USART2_RX/ENET_MII_RXD0/ENET_RMII_RXD0
79,PD10,gpio,EXMC_D15,USART2_CK/ENET_MII_RXD1/ENET_RMII_RXD1
80,PD11,gpio,EXMC_A16,USART2_CTS/ENET_MII_RXD2
81,PD12,gpio,EXMC_A17,TIMER3_CH0/USART2_RTS/ENET_MII_RXD3
82,PD13,gpio,EXMC_A18,TIMER3_CH1
83,VSS_8,ground,,
84,VDD_8,power,,
85,PD14,gpio,EXMC_D0,TIMER3_CH2
86,PD15,gpio,EXMC_D1,TIMER3_CH3/CTC_SYNC
87,PG2,gpio,EXMC_A12,
88,PG3,gpio,EXMC_A13,
89,PG4,gpio,EXMC_A14,
90,PG5,gpio,EXMC_A15,
91,PG6,gpio,EXMC_INT1,
92,PG7,gpio,EXMC_INT2,
93,PG8,gpio,,
94,VSS_9,ground,,
95,VDD_9,power,,
96,PC6,gpio,I2S1_MCK/TIMER7_CH0,TIMER2_CH0
97,PC7,gpio,I2S2_MCK/TIMER7_CH1,TIMER2_CH1
98,PC8,gpio,TIMER7_CH2,TIMER2_CH2
99,PC9,gpio,TIMER7_CH3,TIMER2_CH3
100,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT0/USBFS_SOF/CTC_SYNC,
101,PA9,gpio,USART0_TX/TIMER0_CH1/USBFS_VBUS,
102,PA10,gpio,,
103,PA11,gpio,USART0_RX/TIMER0_CH2/USBFS_ID/USART0_CTS/CAN0_RX/USBFS_DM/TIMER0_CH3,
104,PA12,gpio,USART0_RTS/USBFS_DP/CAN0_TX/TIMER0_ETI,
105,PA13,gpio,,
106,NC,nc,,
107,VSS_2,ground,,
108,VDD_2,power,,
109,PA14,gpio,,
110,PA15,gpio,,
111,PC10,gpio,UART3_TX,USART2_TX/SPI2_SCK/I2S2_CK
112,PC11,gpio,UART3_RX,USART2_RX/SPI2_MISO
113,PC12,gpio,UART4_TX,USART2_CK/SPI2_MOSI/I2S2_SD
114,PD0,gpio,EXMC_D2,CAN0_RX
115,PD1,gpio,EXMC_D3,CAN0_TX
116,PD2,gpio,TIMER2_ETI/UART4_RX,
117,PD3,gpio,EXMC_CLK,USART1_CTS
118,PD4,gpio,EXMC_NOE,USART1_RTS
119,PD5,gpio,EXMC_NWE,
120,VSS_10,ground,,
121,VDD_10,power,,
122,PD6,gpio,EXMC_NWAIT,USART1_RX
123,PD7,gpio,EXMC_NE0/EXMC_NCE1,USART1_CK
124,PG9,gpio,EXMC_NE1/EXMC_NCE2,
125,PG10,gpio,EXMC_NCE3_0/EXMC_NE2,
126,PG11,gpio,EXMC_NCE3_1,
127,PG12,gpio,EXMC_NE3,
128,PG13,gpio,EXMC_A24,
129,PG14,gpio,EXMC_A25,
130,VSS_11,ground,,
131,VDD_11,power,,
132,PG15,gpio,,
133,PB3,gpio,,
134,PB4,gpio,,
135,PB5,gpio,I2C0_SMBA/SPI2_MOSI/I2S2_SD/ENET_MII_PPS_OUT/ENET_RMII_PPS_OUT,TIMER2_CH1/SPI0_MOSI/CAN1_RX
136,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX/CAN1_TX/SPI0_IO2
137,PB7,gpio,I2C0_SDA/TIMER3_CH1/EXMC_NADV,USART0_RX/SPI0_IO3
138,BOOT0,boot,,
139,PB8,gpio,TIMER3_CH2/TIMER9_CH0/ENET_MII_TXD3,I2C0_SCL/CAN0_RX
140,PB9,gpio,TIMER3_CH3/TIMER10_CH0,I2C0_SDA/CAN0_TX
141,PE0,gpio,TIMER3_ETI/EXMC_NBL0,
142,PE1,gpio,EXMC_NBL1,
143,VSS_3,ground,,
144,VDD_3,power,,
