PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,,
3,PC14-OSC32IN,gpio,,
4,PC15-OSC32OUT,gpio,,
5,OSCIN-PD0,gpio,,PD0
6,OSCOUT-PD1,gpio,,PD1
7,NRST,reset,,
8,VSSA,ground,,
9,VDDA,power,,
10,PA0-WKUP,gpio,,
11,PA1,gpio,,
12,PA2,gpio,,
13,PA3,gpio,,
14,PA4,gpio,,
15,PA5,gpio,,SPI2_NSS/I2S2_WS
16,PA6,gpio,,
17,PA7,gpio,,TIMER0_BRKIN
18,PB0,gpio,,
19,PB1,gpio,,TIMER0_CH1_ON
20,PB2,gpio,,TIMER0_CH2_ON
21,PB10,gpio,,
22,PB11,gpio,,TIMER1_CH2
23,VSS_1,ground,,
24,VDD_1,power,,
25,PB12,gpio,,
26,PB13,gpio,,
27,PB14,gpio,,
28,PB15,gpio,,
29,PA8,gpio,,
30,PA9,gpio,,
31,PA10,gpio,,
32,PA11,gpio,,
33,PA12,gpio,,
34,PA13,gpio,,
35,VSS_2,ground,,
36,VDD_2,power,,
37,PA14,gpio,,
38,PA15,gpio,,
39,PB3,gpio,,
40,PB4,gpio,,
41,PB5,gpio,,
42,PB6,gpio,,TIMER2_CH1/SPI0_MOSI/CAN1_RX
43,PB7,gpio,,USART0_TX/CAN1_TX/SPI0_IO2
44,BOOT0,boot,,USART0_RX/SPI0_IO3
45,PB8,gpio,,
46,PB9,gpio,,
47,VSS_3,ground,,
48,VDD_3,power,,
