PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/EXMC_A23,
2,PE3,gpio,TRACED0/EXMC_A19,
3,PE4,gpio,TRACED1/EXMC_A20,
4,PE5,gpio,TRACED2/EXMC_A21,TIMER8_CH0
5,PE6,gpio,TRACED3/EXMC_A22,TIMER8_CH1
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,VSS_5,ground,,
11,VDD_5,power,,
12,OSCIN-PD0,clock,,PD0
13,OSCOUT-PD1,clock,,PD1
14,NRST,reset,,
15,PC0,gpio,ADC01_IN10,
16,PC1,gpio,ADC01_IN11,
17,PC2,gpio,ADC01_IN12,
18,PC3,gpio,ADC01_IN13,
19,VSSA,ground,,
20,VREFN,power,,
21,VREFP,power,,
22,VDDA,power,,
23,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC01_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0,
24,PA1,gpio,USART1_RTS/ADC01_IN1/TIMER1_CH1/TIMER4_CH1,
25,PA2,gpio,USART1_TX/ADC01_IN2/TIMER1_CH2,
26,PA3,gpio,USART1_RX/ADC01_IN3/TIMER1_CH3,
27,VSS_4,ground,,
28,VDD_4,power,,
29,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4,SPI2_NSS
30,PA5,gpio,SPI0_SCK/ADC01_IN5,
31,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER12_CH0,
32,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER13_CH0,
33,PC4,gpio,ADC01_IN14,
34,PC5,gpio,ADC01_IN15,
35,PB0,gpio,ADC01_IN8/TIMER2_CH2,
36,PB1,gpio,ADC01_IN9/TIMER2_CH3,
37,PB2,gpio,,
38,PE7,gpio,EXMC_D4,
39,PE8,gpio,EXMC_D5,
40,PE9,gpio,,
41,PE10,gpio,EXMC_D6/EXMC_D7,
42,PE11,gpio,EXMC_D8,
43,PE12,gpio,EXMC_D9,
44,PE13,gpio,EXMC_D10,
45,PE14,gpio,EXMC_D11,
46,PE15,gpio,EXMC_D12,
47,PB10,gpio,I2C1_SCL/USART2_TX,TIMER1_CH2
48,PB11,gpio,I2C1_SDA/USART2_RX,TIMER1_CH3
49,VSS_1,ground,,
50,VDD_1,power,,
51,PB12,gpio,SPI1_NSS/I2C1_SMBA/USART2_CK,
52,PB13,gpio,SPI1_SCK/USART2_CTS,
53,PB14,gpio,SPI1_MISO/USART2_RTS/TIMER11_CH0,
54,PB15,gpio,SPI1_MOSI/TIMER11_CH1,
55,PD8,gpio,EXMC_D13,USART2_TX
56,PD9,gpio,EXMC_D14,USART2_RX
57,PD10,gpio,EXMC_D15,USART2_CK
58,PD11,gpio,EXMC_A16/EXMC_CLE,USART2_CTS
59,PD12,gpio,EXMC_A17/EXMC_ALE,TIMER3_CH0/USART2_RTS
60,PD13,gpio,EXMC_A18,TIMER3_CH1
61,PD14,gpio,EXMC_D0,TIMER3_CH2
62,PD15,gpio,EXMC_D1,TIMER3_CH3
63,PC6,gpio,,TIMER2_CH0
64,PC7,gpio,,TIMER2_CH1
65,PC8,gpio,,TIMER2_CH2
66,PC9,gpio,,TIMER2_CH3
67,PA8,gpio,USART0_CK/CK_OUT0,
68,PA9,gpio,USART0_TX,
69,PA10,gpio,USART0_RX,
70,PA11,gpio,USART0_CTS,
71,PA12,gpio,USART0_RTS,
72,PA13,gpio,,
73,NC,nc,,
74,VSS_2,ground,,
75,VDD_2,power,,
76,PA14,gpio,,
77,PA15,gpio,,
78,PC10,gpio,,
79,PC11,gpio,UART3_TX/UART3_RX/SPI2_MISO,USART2_TX/SPI2_SCK/USART2_RX
80,PC12,gpio,UART4_TX,USART2_CK/SPI2_MOSI
81,PD0,gpio,EXMC_D2,
82,PD1,gpio,EXMC_D3,
83,PD2,gpio,TIMER2_ETI/UART4_RX,
84,PD3,gpio,EXMC_CLK,USART1_CTS
85,PD4,gpio,EXMC_NOE,USART1_RTS
86,PD5,gpio,EXMC_NWE,USART1_TX
87,PD6,gpio,EXMC_NWAIT,USART1_RX
88,PD7,gpio,EXMC_NE0/EXMC_NCE1,USART1_CK
89,PB3,gpio,,
90,PB4,gpio,,
91,PB5,gpio,I2C0_SMBA/SPI2_MOSI,TIMER2_CH1/SPI0_MOSI
92,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX
93,PB7,gpio,I2C0_SDA/TIMER3_CH1/EXMC_NADV,USART0_RX
94,BOOT0,boot,,
95,PB8,gpio,TIMER3_CH2/TIMER9_CH0,I2C0_SCL
96,PB9,gpio,TIMER3_CH3/TIMER10_CH0,I2C0_SDA
97,PE0,gpio,TIMER3_ETI/EXMC_NBL0,
98,PE1,gpio,EXMC_NBL1,
99,VSS_3,ground,,
100,VDD_3,power,,
